"Timeslice_younger","BIO","Value","Source"
"0","BIO8",0.654708684814989,"Tgrowing state"
"0","BIO10",0.797981612645364,"Tgrowing state"
"0.5","BIO8",0.673988386999429,"Tgrowing state"
"0.5","BIO10",0.762612741150497,"Tgrowing state"
"1","BIO8",0.727227020332075,"Tgrowing state"
"1","BIO10",0.765294709596148,"Tgrowing state"
"1.5","BIO8",0.780494383604804,"Tgrowing state"
"1.5","BIO10",0.764161365363654,"Tgrowing state"
"2","BIO8",0.774571098878863,"Tgrowing state"
"2","BIO10",0.752366340437271,"Tgrowing state"
"2.5","BIO8",0.765204621721737,"Tgrowing state"
"2.5","BIO10",0.752056548121262,"Tgrowing state"
"3","BIO8",0.771391920060854,"Tgrowing state"
"3","BIO10",0.768312169473802,"Tgrowing state"
"3.5","BIO8",0.765243848467982,"Tgrowing state"
"3.5","BIO10",0.777064800167217,"Tgrowing state"
"4","BIO8",0.753322321728204,"Tgrowing state"
"4","BIO10",0.789640382864934,"Tgrowing state"
"4.5","BIO8",0.767181289172606,"Tgrowing state"
"4.5","BIO10",0.81452296265468,"Tgrowing state"
"5","BIO8",0.778201450285171,"Tgrowing state"
"5","BIO10",0.842923026327536,"Tgrowing state"
"5.5","BIO8",0.794749285656426,"Tgrowing state"
"5.5","BIO10",0.852166115110469,"Tgrowing state"
"6","BIO8",0.847139856134917,"Tgrowing state"
"6","BIO10",0.861612208333002,"Tgrowing state"
"6.5","BIO8",0.936866092260203,"Tgrowing state"
"6.5","BIO10",0.875283119478976,"Tgrowing state"
"7","BIO8",0.940513581949343,"Tgrowing state"
"7","BIO10",0.901137042309757,"Tgrowing state"
"7.5","BIO8",0.889528834290397,"Tgrowing state"
"7.5","BIO10",0.916390084558895,"Tgrowing state"
"8","BIO8",0.97872033980486,"Tgrowing state"
"8","BIO10",0.962879658122591,"Tgrowing state"
"8.5","BIO8",1,"Tgrowing state"
"8.5","BIO10",1,"Tgrowing state"
"9","BIO8",0.953927240290242,"Tgrowing state"
"9","BIO10",0.984689569964593,"Tgrowing state"
"9.5","BIO8",0.927937139509156,"Tgrowing state"
"9.5","BIO10",0.932100275382709,"Tgrowing state"
"10","BIO8",0.785578105316481,"Tgrowing state"
"10","BIO10",0.885072860518461,"Tgrowing state"
"10.5","BIO8",0.710075667605317,"Tgrowing state"
"10.5","BIO10",0.840164945064337,"Tgrowing state"
"11","BIO8",0.588172266307713,"Tgrowing state"
"11","BIO10",0.76821310741587,"Tgrowing state"
"11.5","BIO8",0.441940805299786,"Tgrowing state"
"11.5","BIO10",0.637190420751769,"Tgrowing state"
"12","BIO8",0.390971005001618,"Tgrowing state"
"12","BIO10",0.583091802371706,"Tgrowing state"
"12.5","BIO8",0.470911329782183,"Tgrowing state"
"12.5","BIO10",0.671935181196392,"Tgrowing state"
"13","BIO8",0.469976364390869,"Tgrowing state"
"13","BIO10",0.730901177793745,"Tgrowing state"
