"Timeslice_younger","BIO","Value","Source"
"0","BIO8","0.0729287164820822","Tgrowing change"
"0","BIO10","0.0941958594896296","Tgrowing change"
"0.5","BIO8","0.0212988808281389","Tgrowing change"
"0.5","BIO10","0.0475690362279668","Tgrowing change"
"1","BIO8","0.00288185643285997","Tgrowing change"
"1","BIO10","0.00781279613490425","Tgrowing change"
"1.5","BIO8","0.192591046653897","Tgrowing change"
"1.5","BIO10","0.0195579244159861","Tgrowing change"
"2","BIO8","0.0248771914168792","Tgrowing change"
"2","BIO10","0.0455986529564007","Tgrowing change"
"2.5","BIO8","0.032896244878877","Tgrowing change"
"2.5","BIO10","0.0301765140281456","Tgrowing change"
"3","BIO8","0","Tgrowing change"
"3","BIO10","0","Tgrowing change"
"3.5","BIO8","0.0196482158146187","Tgrowing change"
"3.5","BIO10","0.0121527159333947","Tgrowing change"
"4","BIO8","0.0106051001231357","Tgrowing change"
"4","BIO10","0.0461468892835893","Tgrowing change"
"4.5","BIO8","0.0328957852509607","Tgrowing change"
"4.5","BIO10","0.0371372095447768","Tgrowing change"
"5","BIO8","0.00581759257197488","Tgrowing change"
"5","BIO10","0.020927087155648","Tgrowing change"
"5.5","BIO8","0.0147526174566985","Tgrowing change"
"5.5","BIO10","0.02873960277098","Tgrowing change"
"6","BIO8","0.0193089265836689","Tgrowing change"
"6","BIO10","0.01957012100061","Tgrowing change"
"6.5","BIO8","0.0178673057192877","Tgrowing change"
"6.5","BIO10","0.0983232206814837","Tgrowing change"
"7","BIO8","0.0121024952308335","Tgrowing change"
"7","BIO10","0.0426337592118856","Tgrowing change"
"7.5","BIO8","0.0220545475342485","Tgrowing change"
"7.5","BIO10","0.0661303866342217","Tgrowing change"
"8","BIO8","0.0455351542488129","Tgrowing change"
"8","BIO10","0.210099372704907","Tgrowing change"
"8.5","BIO8","0.0332446942565171","Tgrowing change"
"8.5","BIO10","0.122723415970487","Tgrowing change"
"9","BIO8","0.0426308499986881","Tgrowing change"
"9","BIO10","0.0685132819507447","Tgrowing change"
"9.5","BIO8","0.108755643396795","Tgrowing change"
"9.5","BIO10","0.198197595342019","Tgrowing change"
"10","BIO8","0.0605736373244385","Tgrowing change"
"10","BIO10","0.129704617600519","Tgrowing change"
"10.5","BIO8","0.142797606982703","Tgrowing change"
"10.5","BIO10","0.0770918267176235","Tgrowing change"
"11","BIO8","0.547064568385407","Tgrowing change"
"11","BIO10","0.777566292741041","Tgrowing change"
"11.5","BIO8","0.663327035916617","Tgrowing change"
