"Source","Variable","R_value","P_value"
"Proportion of biome shifts in reconstruction","Seasonality_mean",0.68,"0.01-0.05"
"Proportion of biome shifts in reconstruction","T_growing_mean",-0.55,">0.05"
"Proportion of biome shifts in reconstruction","T_non_growing_mean",-0.6,"0.01-0.05"
"Proportion of biome shifts in reconstruction","P_growing_mean",-0.49,">0.05"
"Proportion of biome shifts in reconstruction","P_non_growing_mean",-0.65,"0.01-0.05"
"Proportion of biome shifts in simulation","Seasonality_mean",0.53,"0.001-0.01"
"Proportion of biome shifts in simulation","T_growing_mean",-0.11,">0.05"
"Proportion of biome shifts in simulation","T_non_growing_mean",-0.24,">0.05"
"Proportion of biome shifts in simulation","P_growing_mean",-0.13,">0.05"
"Proportion of biome shifts in simulation","P_non_growing_mean",-0.48,"0.01-0.05"
"Biome compositional turnover","Seasonality_mean",0.47,"0.01-0.05"
"Biome compositional turnover","T_growing_mean",-0.31,">0.05"
"Biome compositional turnover","T_non_growing_mean",-0.34,">0.05"
"Biome compositional turnover","P_growing_mean",-0.41,">0.05"
"Biome compositional turnover","P_non_growing_mean",-0.46,"0.01-0.05"
