"Source","Variable","R_value","P_value"
"Proportion of biome shifts in reconstruction","Seasonality_mean",0.37,"0.01-0.05"
"Proportion of biome shifts in reconstruction","T_growing_mean",0.44,"0.001-0.01"
"Proportion of biome shifts in reconstruction","T_non_growing_mean",0.32,"0.01-0.05"
"Proportion of biome shifts in reconstruction","P_growing_mean",0.34,">0.05"
"Proportion of biome shifts in reconstruction","P_non_growing_mean",0.24,">0.05"
"Proportion of biome shifts in simulation","Seasonality_mean",0.81,"<0.001"
"Proportion of biome shifts in simulation","T_growing_mean",0.86,"<0.001"
"Proportion of biome shifts in simulation","T_non_growing_mean",0.85,"<0.001"
"Proportion of biome shifts in simulation","P_growing_mean",0.58,">0.05"
"Proportion of biome shifts in simulation","P_non_growing_mean",0.32,">0.05"
"Biome compositional turnover","Seasonality_mean",0.38,"0.001-0.01"
"Biome compositional turnover","T_growing_mean",0.52,"<0.001"
"Biome compositional turnover","T_non_growing_mean",0.41,"0.001-0.01"
"Biome compositional turnover","P_growing_mean",0.41,">0.05"
"Biome compositional turnover","P_non_growing_mean",0.32,"0.01-0.05"
