"Longitude","Latitude","Timeslice","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
-37.5,83.4789352416992,-0.1,-15.1393770997723,1271.01549572728,-1.12742723027865,-29.9889939626058,1.59814857443174,-29.9889939626058,268.336955070496,40.1670303344727,11.9980487823486,43.2505426821366,107.435335159302,37.7178993225098,99.0549106597901,37.7178993225098
-33.75,83.4789352416992,-0.1,-15.0469292228421,1273.35736476064,-0.977036605278651,-26.735626856486,1.7257527410984,-29.8763637542725,275.496894836426,41.9312705993652,12.656681060791,42.6767317765964,109.785785675049,39.8450479507447,105.231609344482,39.8873920440674
-30,83.4789352416992,-0.1,-15.0160047411919,1275.17220042973,-0.921047012011211,-26.7519028981527,1.85335691769918,-29.7780564626058,281.133779525757,42.6538429260254,13.4002780914307,41.0776612075108,111.441345214844,42.1960210800171,106.070865631103,42.8728065490722
-26.25,83.4789352416992,-0.1,-14.7259656786919,1267.23034781631,-0.671698053677877,-26.4218247731527,1.99919025103251,-29.3939418792725,283.105570793152,40.8183517456055,13.9652261734009,36.9891733613731,108.718530654907,44.9990415573121,99.8835601806641,46.1861839294434
15,79.7770462036133,-0.1,-6.11772750814755,795.730200951422,3.49236444632212,-14.0455176035563,4.23226308822632,-14.9942073822021,251.460996627808,27.611988067627,16.1169204711914,15.9462019434769,76.7650547027588,52.0961666107178,72.3261451721191,55.62135887146
18.75,79.7770462036133,-0.1,-5.99044886231422,759.346520997533,3.25929152965546,-13.575465520223,3.91260162989298,-14.3900407155355,265.528987884522,30.6084651947021,16.7016696929932,18.0412465535419,83.6921691894531,53.5214614868165,75.6733531951905,57.5554504394532
101.25,79.7770462036133,-0.1,-11.6663928528627,1107.2859513024,0.798354069391886,-22.4276790618896,1.60140379269918,-25.1875616709391,251.82126903534,35.3456802368164,12.3726902008057,34.1783752042758,92.138376235962,39.1056928634644,88.7151889801026,39.686731338501
-86.25,79.7770462036133,-0.1,-12.9349487920602,1323.17347759768,1.13754673798879,-29.6198533376058,3.42041416962941,-29.6198533376058,279.056134223938,43.2582817077637,9.63149547576904,47.084334030182,113.933685302734,30.8469476699829,109.693853378296,30.8469476699829
-82.5,79.7770462036133,-0.1,-13.1361206670602,1324.49334916347,1.00929152965546,-29.6810512542725,3.43864333629608,-29.6810512542725,291.927456855774,46.1772994995117,9.99599838256836,48.1796012861251,120.731067657471,31.7734422683716,116.486297607422,31.7734422683716
-75,79.7770462036133,-0.1,-13.8013237615426,1304.21995242259,0.22739048798879,-29.7520147959391,2.94059646129608,-29.7520147959391,336.534554481507,53.5048789978027,11.0173721313477,49.0371838591059,137.625198364258,35.4171895980836,136.985942840576,35.4171895980836
