"Longitude","Latitude","Timeslice","Magnitude"
-37.5,83.4789352416992,-0.3,1
-33.75,83.4789352416992,-0.3,1
-30,83.4789352416992,-0.3,1
-26.25,83.4789352416992,-0.3,1
15,79.7770462036133,-0.3,2
18.75,79.7770462036133,-0.3,2
101.25,79.7770462036133,-0.3,2
-86.25,79.7770462036133,-0.3,2
-82.5,79.7770462036133,-0.3,2
-75,79.7770462036133,-0.3,1
-71.25,79.7770462036133,-0.3,1
-67.5,79.7770462036133,-0.3,1
-22.5,79.7770462036133,-0.3,1
-18.75,79.7770462036133,-0.3,1
97.5,76.0702438354492,-0.3,2
101.25,76.0702438354492,-0.3,2
105,76.0702438354492,-0.3,2
108.75,76.0702438354492,-0.3,2
-116.25,76.0702438354492,-0.3,2
-112.5,76.0702438354492,-0.3,2
-86.25,76.0702438354492,-0.3,2
-82.5,76.0702438354492,-0.3,2
-22.5,76.0702438354492,-0.3,1
52.5,72.3615798950195,-0.3,2
56.25,72.3615798950195,-0.3,2
67.5,72.3615798950195,-0.3,2
71.25,72.3615798950195,-0.3,2
75,72.3615798950195,-0.3,2
78.75,72.3615798950195,-0.3,2
82.5,72.3615798950195,-0.3,2
86.25,72.3615798950195,-0.3,2
90,72.3615798950195,-0.3,2
93.75,72.3615798950195,-0.3,2
97.5,72.3615798950195,-0.3,2
101.25,72.3615798950195,-0.3,2
105,72.3615798950195,-0.3,2
108.75,72.3615798950195,-0.3,2
112.5,72.3615798950195,-0.3,2
116.25,72.3615798950195,-0.3,2
120,72.3615798950195,-0.3,2
123.75,72.3615798950195,-0.3,2
127.5,72.3615798950195,-0.3,2
131.25,72.3615798950195,-0.3,2
138.75,72.3615798950195,-0.3,2
142.5,72.3615798950195,-0.3,2
146.25,72.3615798950195,-0.3,2
-123.75,72.3615798950195,-0.3,2
-120,72.3615798950195,-0.3,2
-116.25,72.3615798950195,-0.3,2
-112.5,72.3615798950195,-0.3,2
-108.75,72.3615798950195,-0.3,2
-93.75,72.3615798950195,-0.3,2
-86.25,72.3615798950195,-0.3,2
-82.5,72.3615798950195,-0.3,2
-78.75,72.3615798950195,-0.3,2
-75,72.3615798950195,-0.3,2
-56.25,72.3615798950195,-0.3,1
-26.25,72.3615798950195,-0.3,1
-22.5,72.3615798950195,-0.3,1
18.75,68.6520156860352,-0.3,1
22.5,68.6520156860352,-0.3,1
26.25,68.6520156860352,-0.3,2
30,68.6520156860352,-0.3,2
52.5,68.6520156860352,-0.3,2
56.25,68.6520156860352,-0.3,2
60,68.6520156860352,-0.3,2
63.75,68.6520156860352,-0.3,2
67.5,68.6520156860352,-0.3,2
71.25,68.6520156860352,-0.3,2
75,68.6520156860352,-0.3,2
78.75,68.6520156860352,-0.3,2
82.5,68.6520156860352,-0.3,2
86.25,68.6520156860352,-0.3,2
90,68.6520156860352,-0.3,2
93.75,68.6520156860352,-0.3,2
97.5,68.6520156860352,-0.3,2
101.25,68.6520156860352,-0.3,2
105,68.6520156860352,-0.3,2
108.75,68.6520156860352,-0.3,2
112.5,68.6520156860352,-0.3,2
116.25,68.6520156860352,-0.3,1
120,68.6520156860352,-0.3,1
123.75,68.6520156860352,-0.3,1
127.5,68.6520156860352,-0.3,1
131.25,68.6520156860352,-0.3,2
135,68.6520156860352,-0.3,2
138.75,68.6520156860352,-0.3,2
142.5,68.6520156860352,-0.3,2
146.25,68.6520156860352,-0.3,2
150,68.6520156860352,-0.3,2
153.75,68.6520156860352,-0.3,2
