"Biome","Timeslice","Site_number"
"1",0,49
"1",0.5,56
"1",1,53
"1",1.5,55
"1",2,61
"1",2.5,60
"1",3,60
"1",3.5,57
"1",4,53
"1",4.5,46
"1",5,50
"1",5.5,44
"1",6,41
"1",6.5,40
"1",7,37
"1",7.5,38
"1",8,36
"1",8.5,35
"1",9,31
"1",9.5,25
"1",10,23
"1",10.5,23
"1",11,21
"1",11.5,19
"1",12,17
"1",12.5,21
"1",13,21
"1",13.5,20
"1",14,20
"1",14.5,20
"1",15,18
"1",15.5,16
"1",16,16
"1",16.5,15
"1",17,16
"1",17.5,15
"1",18,13
"1",18.5,12
"1",19,13
"1",19.5,12
"1",20,12
"1",20.5,14
"1",21,10
"2",0,38
"2",0.5,48
"2",1,49
"2",1.5,54
"2",2,53
"2",2.5,56
"2",3,56
"2",3.5,51
"2",4,47
"2",4.5,47
"2",5,49
"2",5.5,41
"2",6,39
"2",6.5,38
"2",7,36
"2",7.5,34
"2",8,30
"2",8.5,30
"2",9,28
"2",9.5,22
"2",10,19
"2",10.5,17
"2",11,17
"2",11.5,14
"2",12,13
"2",12.5,14
"2",13,13
"2",13.5,14
"2",14,14
"2",14.5,12
"2",15,13
"2",15.5,14
"2",16,14
"2",16.5,11
"2",17,13
"2",17.5,10
"2",18,10
"2",18.5,10
"2",19,10
"2",19.5,9
"2",20,10
"2",20.5,10
"2",21,8
"3",0,1173
"3",0.5,1346
"3",1,1341
"3",1.5,1348
"3",2,1310
"3",2.5,1280
"3",3,1241
"3",3.5,1204
"3",4,1167
"3",4.5,1138
"3",5,1119
"3",5.5,1110
"3",6,1091
"3",6.5,1041
"3",7,1005
"3",7.5,986
"3",8,938
"3",8.5,915
"3",9,881
"3",9.5,850
"3",10,818
"3",10.5,788
"3",11,754
"3",11.5,722
"3",12,652
"3",12.5,603
"3",13,561
"3",13.5,496
"3",14,438
"3",14.5,368
"3",15,305
"3",15.5,253
"3",16,208
"3",16.5,178
"3",17,151
"3",17.5,140
"3",18,121
"3",18.5,102
"3",19,88
"3",19.5,81
"3",20,64
"3",20.5,55
"3",21,50
"4",0,412
"4",0.5,454
"4",1,436
"4",1.5,449
"4",2,441
"4",2.5,433
"4",3,437
"4",3.5,428
"4",4,430
"4",4.5,427
"4",5,440
"4",5.5,436
"4",6,429
"4",6.5,435
"4",7,429
"4",7.5,407
"4",8,389
"4",8.5,374
"4",9,372
"4",9.5,335
"4",10,315
"4",10.5,282
"4",11,255
"4",11.5,241
"4",12,223
"4",12.5,201
"4",13,170
"4",13.5,147
"4",14,123
"4",14.5,93
"4",15,76
"4",15.5,61
"4",16,58
"4",16.5,49
"4",17,37
"4",17.5,31
"4",18,26
"4",18.5,21
"4",19,20
"4",19.5,17
"4",20,15
"4",20.5,17
"4",21,14
"5",0,23
"5",0.5,27
"5",1,25
"5",1.5,27
"5",2,25
"5",2.5,24
"5",3,22
"5",3.5,18
"5",4,18
"5",4.5,24
"5",5,23
"5",5.5,19
"5",6,18
"5",6.5,20
"5",7,19
"5",7.5,18
"5",8,18
"5",8.5,16
"5",9,16
"5",9.5,16
"5",10,19
"5",10.5,17
"5",11,18
"5",11.5,18
"5",12,14
"5",12.5,15
"5",13,13
"5",13.5,11
"5",14,10
"5",14.5,8
"5",15,7
"5",15.5,7
"5",16,5
"5",16.5,7
"5",17,7
"5",17.5,6
"5",18,6
"5",18.5,5
"5",19,4
"5",19.5,4
"5",20,4
"5",20.5,4
"5",21,4
"6",0,125
"6",0.5,150
"6",1,152
"6",1.5,141
"6",2,142
"6",2.5,145
"6",3,145
"6",3.5,145
"6",4,137
"6",4.5,134
