"Longitude","Latitude","Biome"
101.25,76.0702445,"8"
82.5,72.361581,"8"
86.25,72.361581,"8"
90,72.361581,"8"
93.75,72.361581,"8"
97.5,72.361581,"8"
101.25,72.361581,"8"
105,72.361581,"8"
108.75,72.361581,"4"
112.5,72.361581,"4"
116.25,72.361581,"4"
-123.75,72.361581,"8"
-120,72.361581,"8"
-116.25,72.361581,"8"
-90,72.361581,"8"
-86.25,72.361581,"8"
-82.5,72.361581,"8"
18.75,68.6520168,"4"
22.5,68.6520168,"4"
26.25,68.6520168,"4"
30,68.6520168,"4"
60,68.6520168,"4"
67.5,68.6520168,"8"
71.25,68.6520168,"8"
75,68.6520168,"8"
78.75,68.6520168,"8"
82.5,68.6520168,"8"
86.25,68.6520168,"8"
90,68.6520168,"8"
93.75,68.6520168,"8"
97.5,68.6520168,"4"
101.25,68.6520168,"4"
105,68.6520168,"8"
108.75,68.6520168,"4"
112.5,68.6520168,"4"
116.25,68.6520168,"4"
120,68.6520168,"4"
123.75,68.6520168,"4"
127.5,68.6520168,"4"
131.25,68.6520168,"4"
135,68.6520168,"4"
138.75,68.6520168,"4"
142.5,68.6520168,"4"
146.25,68.6520168,"8"
150,68.6520168,"8"
153.75,68.6520168,"4"
157.5,68.6520168,"4"
161.25,68.6520168,"4"
165,68.6520168,"4"
-161.25,68.6520168,"4"
-157.5,68.6520168,"4"
-153.75,68.6520168,"4"
-150,68.6520168,"8"
-146.25,68.6520168,"4"
-131.25,68.6520168,"4"
-123.75,68.6520168,"8"
-120,68.6520168,"8"
-116.25,68.6520168,"8"
-112.5,68.6520168,"8"
-108.75,68.6520168,"8"
-105,68.6520168,"8"
-97.5,68.6520168,"8"
-93.75,68.6520168,"8"
-86.25,68.6520168,"8"
-78.75,68.6520168,"8"
-75,68.6520168,"8"
11.25,64.9419495,"4"
15,64.9419495,"4"
18.75,64.9419495,"4"
22.5,64.9419495,"4"
26.25,64.9419495,"4"
30,64.9419495,"4"
33.75,64.9419495,"4"
37.5,64.9419495,"4"
41.25,64.9419495,"4"
45,64.9419495,"4"
48.75,64.9419495,"4"
52.5,64.9419495,"4"
56.25,64.9419495,"4"
60,64.9419495,"4"
63.75,64.9419495,"4"
67.5,64.9419495,"4"
71.25,64.9419495,"4"
75,64.9419495,"4"
78.75,64.9419495,"4"
82.5,64.9419495,"4"
86.25,64.9419495,"4"
90,64.9419495,"8"
93.75,64.9419495,"8"
97.5,64.9419495,"8"
101.25,64.9419495,"4"
105,64.9419495,"4"
108.75,64.9419495,"4"
112.5,64.9419495,"4"
116.25,64.9419495,"4"
120,64.9419495,"4"
123.75,64.9419495,"4"
127.5,64.9419495,"4"
131.25,64.9419495,"4"
135,64.9419495,"4"
138.75,64.9419495,"4"
142.5,64.9419495,"4"
146.25,64.9419495,"4"
150,64.9419495,"4"
153.75,64.9419495,"4"
157.5,64.9419495,"4"
161.25,64.9419495,"4"
165,64.9419495,"4"
168.75,64.9419495,"4"
172.5,64.9419495,"4"
176.25,64.9419495,"4"
-176.25,64.9419495,"4"
-165,64.9419495,"4"
-161.25,64.9419495,"4"
-157.5,64.9419495,"4"
-153.75,64.9419495,"4"
-150,64.9419495,"4"
-146.25,64.9419495,"4"
-142.5,64.9419495,"4"
-138.75,64.9419495,"4"
-135,64.9419495,"4"
-131.25,64.9419495,"4"
-127.5,64.9419495,"4"
-123.75,64.9419495,"4"
-120,64.9419495,"4"
-116.25,64.9419495,"4"
-112.5,64.9419495,"8"
-108.75,64.9419495,"8"
-105,64.9419495,"8"
-101.25,64.9419495,"8"
-97.5,64.9419495,"8"
-93.75,64.9419495,"8"
-90,64.9419495,"8"
-86.25,64.9419495,"8"
-75,64.9419495,"8"
-71.25,64.9419495,"8"
7.5,61.2315732,"4"
11.25,61.2315732,"4"
15,61.2315732,"4"
22.5,61.2315732,"4"
26.25,61.2315732,"3"
30,61.2315732,"4"
33.75,61.2315732,"4"
37.5,61.2315732,"4"
41.25,61.2315732,"4"
45,61.2315732,"4"
48.75,61.2315732,"4"
52.5,61.2315732,"4"
56.25,61.2315732,"4"
60,61.2315732,"4"
63.75,61.2315732,"4"
67.5,61.2315732,"4"
71.25,61.2315732,"4"
75,61.2315732,"4"
78.75,61.2315732,"4"
82.5,61.2315732,"4"
86.25,61.2315732,"4"
90,61.2315732,"4"
93.75,61.2315732,"4"
97.5,61.2315732,"4"
101.25,61.2315732,"4"
105,61.2315732,"4"
108.75,61.2315732,"4"
112.5,61.2315732,"4"
116.25,61.2315732,"4"
120,61.2315732,"4"
123.75,61.2315732,"4"
127.5,61.2315732,"4"
131.25,61.2315732,"4"
135,61.2315732,"4"
138.75,61.2315732,"4"
