"Timeslice","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
0,1,0.0459569258819233,0.654708684814989,1,0.797981612645364,1,0.636604376099588,0.246567235089781,0.955187092375232,0,0.286559379853157,0.929028100115311,0.162387326177855,1
0.5,0.977388437569894,0.00140492207016803,0.673988386999429,0.981312284959175,0.762612741150497,0.978462342127008,0.677207072445754,0.338232986086165,0.978248650737957,0.0101608077248048,0.334430777921607,0.93169180921517,0.214417862193088,0.957481890634503
1,0.979320857758519,0,0.727227020332075,0.891753530759789,0.765294709596148,0.98274406888981,0.73939096000727,0.40702866774177,1,0.0315660252741204,0.377566874101354,0.920099618741586,0.316024325301631,0.904901068482559
1.5,0.969880550372034,0.00328728879658408,0.780494383604804,0.841973211284352,0.764161365363654,0.970769947354813,0.750360229348359,0.40683606409191,0.9716127781604,0.0239243162505135,0.421228112739345,0.910651627348423,0.316931512831301,0.959308403583117
2,0.951904976544107,0.00517529010822672,0.774571098878863,0.770161227263033,0.752366340437271,0.955137662835522,0.736913074367154,0.469043016284499,0.949807537012906,0.0335968766668959,0.46128055784644,0.960728529889991,0.457314745029906,0.90460101913978
2.5,0.949732330085742,0.0302734821162329,0.765204621721737,0.757011150763661,0.752056548121262,0.949083476155736,0.784414298272764,0.513303216063333,0.95824998336419,0.0153006615689596,0.585257393943957,0.977493735728669,0.564407065785568,0.91538838114104
3,0.932381870837805,0.057298406629074,0.771391920060854,0.733433121316918,0.768312169473802,0.944469541997171,0.794657637014059,0.557663583281774,0.93405172185546,0.0416074351510119,0.582578270244122,1,0.558224462957637,0.907246468998863
3.5,0.918093316510066,0.067673904940719,0.765243848467982,0.743900206164068,0.777064800167217,0.946081942644385,0.727023308697328,0.589084661085125,0.871938178887414,0.0559143395447497,0.612846665642866,0.944478459380977,0.627768640281299,0.952124249765196
4,0.906890675366334,0.0846623741725039,0.753322321728204,0.759358107927493,0.789640382864934,0.937364226867094,0.625200669322738,0.600929841469074,0.856188005554353,0.0662196964308022,0.545536850193214,0.878283535727509,0.641132089539806,0.98176839446184
4.5,0.895445979395654,0.134402682627863,0.767181289172606,0.772255991649206,0.81452296265468,0.922274393285393,0.752063348260994,0.697569415333373,0.866082078903311,0.102847677920251,0.682609607673874,0.898860248680442,0.738027407650891,0.959045858016237
5,0.884304695010091,0.184679385774686,0.778201450285171,0.721572405204276,0.842923026327536,0.910734330458934,0.822497436124642,0.739734106921739,0.850577493495166,0.131136579114381,0.707470665383835,0.901791418076719,0.77029772548161,0.913748721954798
5.5,0.892419900668863,0.198482881946863,0.794749285656426,0.693639902047405,0.852166115110469,0.902060585922373,0.840214167445546,0.708819634728044,0.871446314838622,0.166718033043189,0.753284341935665,0.926047309278637,0.798440017614664,0.795579677947086
6,0.883472819586052,0.236816376881472,0.847139856134917,0.665943811457952,0.861612208333002,0.891886177222339,0.839256974686768,0.767034878066692,0.836430016699333,0.209069994718582,0.852728592783982,0.872877932994622,0.814854515888479,0.814141084739764
6.5,0.876577255942718,0.314167182589543,0.936866092260203,0.689011825290251,0.875283119478976,0.886643454861545,0.907702148624409,0.841612721672372,0.859877583676481,0.0831531659871886,0.880129185553083,0.886812099005542,0.860577596999073,0.824211419859845
7,0.904185716178428,0.327059698994724,0.940513581949343,0.662643423339264,0.901137042309757,0.880764585077437,1,0.963551574884055,0.907951696964326,0.184552224892881,0.985956930233867,0.936384945423516,1,0.783085739393664
7.5,0.893900375476387,0.384790667338211,0.889528834290397,0.65969625372482,0.916390084558895,0.852460551981448,0.961413261484692,1,0.785956546012107,0.253530292572255,0.971737819957064,0.839665603497163,0.90022097526729,0.735590684609473
8,0.895550774662435,0.52357367400183,0.97872033980486,0.595126541334094,0.962879658122591,0.865016311777762,0.735541769913607,0.855409157327103,0.750576274266861,0.416410671643051,0.864029745027548,0.742690031236202,0.81675041396506,0.642292029972006
8.5,0.907925298633893,0.584606072852608,1,0.563700541137855,1,0.862568318988699,0.875161605537685,0.869539915719013,0.732837504832671,0.461198004630242,0.885279174414277,0.706915021335593,0.787770339844986,0.613858040580393
9,0.889757879304178,0.576768901471585,0.953927240290242,0.596438616956225,0.984689569964593,0.855330020801526,0.927021790105396,0.917431335077818,0.720343354555247,0.525791295423325,1,0.721441926712681,0.798637528581536,0.736908731530444
9.5,0.849904323626684,0.540843925258882,0.927937139509156,0.560146842407142,0.932100275382709,0.81954534892316,0.753727224247083,0.828230922539845,0.654597260681766,0.575538293444107,0.969698018384061,0.658449453691342,0.859186722151497,0.54356036357275
10,0.78670765288433,0.545465613203,0.785578105316481,0.514220071018727,0.885072860518461,0.767212491324082,0.708337289965793,0.905869912110818,0.60754927848121,0.590513750077116,0.909195051116812,0.593149884370215,0.838923158700905,0.459789631679551
10.5,0.728113937202376,0.535800080162317,0.710075667605317,0.534848514589096,0.840164945064337,0.755762334764216,0.767119587070411,0.822642233175664,0.618798863667543,0.573726521350374,0.880101471571695,0.609463981233294,0.773900534003669,0.496687371791448
11,0.647225676699613,0.674580806915974,0.588172266307713,0.487203779131799,0.76821310741587,0.669395769743522,0.674596297059916,0.737708354758337,0.468767946670715,0.681159257704743,0.749963873467212,0.452449284105793,0.617960452424407,0.484794511946445
11.5,0.448303772524146,0.85834721935185,0.441940805299786,0.313288292260717,0.637190420751769,0.471308032479887,0.482114489773958,0.517362712452075,0.261284815231449,0.799022207488978,0.585335419056924,0.147048697237681,0.392381949088343,0.285146604931421
12,0.338102288498414,0.98556906864448,0.390971005001618,0.338297848934294,0.583091802371706,0.29451167586239,0.270548585998278,0.336759820772457,0.0941599236519345,0.811179057504606,0.382404864764361,0.02180786164618,0,0
12.5,0.458275280548078,1,0.470911329782183,0.336945736342382,0.671935181196392,0.447805953324518,0.30484834726108,0.368413001496436,0.220479618828871,0.775486592000759,0.450103885722348,0.0960457564822789,0.254012012720715,0.255787895715169
13,0.623734810094775,0.890195914724609,0.469976364390869,0.457839204091174,0.730901177793745,0.584762264002428,0.636064231019448,0.617313286582828,0.400752217219878,0.793950556103286,0.743798077895044,0.423899545173568,0.641683146948741,0.503025551933474
13.5,0.608846546833665,0.891944322379546,0.46034742376774,0.482550744688751,0.696013000601156,0.581033548753222,0.631207102570035,0.580526910651911,0.394037927086381,0.888586282015336,0.704180067021079,0.421149129716447,0.696133081864651,0.404839653031695
14,0.518569761541385,0.94618639085638,0.439968056356085,0.427526871083499,0.607659965870792,0.463850212119307,0.406990111611816,0.418706656636359,0.307711500723164,0.78347942829357,0.473131039461071,0.296481761702599,0.39826799965509,0.36400405214123
14.5,0.422063295162828,0.944325157286818,0.348107019281431,0.431237881090923,0.531093994272763,0.353141377685666,0.311794228560766,0.338854626011111,0.290611870828,0.658950448110506,0.378134565542722,0.287556940448286,0.267441694392892,0.322875609163419
15,0.370791269069264,0.877560569559788,0.375365319084997,0.270230675664718,0.463051352262903,0.314570561981229,0.319114967800086,0.256412496749179,0.325984734839297,0.669682546394635,0.23381037568569,0.334438673170778,0.318606635260136,0.323353222265174
15.5,0.259926849244386,0.765778726001669,0.272900648260352,0.134448484305221,0.375310882967518,0.201543262082247,0.413518835522838,0.268220209134244,0.30106781401348,0.786413969614055,0.255162645820922,0.310372296039821,0.361907373877772,0.280911485400099
16,0.269328861096512,0.711867165687767,0.2511879630028,0.236682480831572,0.281330344745042,0.228485297235705,0.347310219201359,0.181322815267412,0.2333927582919,0.847570319561081,0.160177369645839,0.225536329999533,0.455599991569923,0.337738450679542
16.5,0.185539602604465,0.768991547746129,0.238347668627915,0.11289204358651,0.282956401433694,0.131559720223855,0.286045736404753,0.0551624681120063,0.219845791999894,0.755898269788178,0.0511340503639614,0.211660094573313,0.384453137338139,0.269899724997223
17,0.241307616744888,0.766300598883246,0.237229559904516,0.173178413104397,0.36890877809432,0.179017574336395,0.275338870960405,0,0.172615405825969,0.778513600995838,0.0157322131586987,0.213397065118849,0.364990983695053,0.32533335100524
17.5,0.118801877700612,0.825733466976183,0.318379353591205,0.211195590461281,0.290905194911305,0.0731169499312516,0.184599295104552,0.161529706969934,0.00897172980663759,0.971152424168132,0.0689396556221465,0.0873600872621107,0.362888917952764,0.360903538662239
18,0.0690665998438211,0.798003897726767,0.234793004515277,0.209778318922079,0.251947600030487,0.0693951695928346,0,0.165682602244739,0,1,0.0386088399734641,0.0201799336797168,0.23286350192003,0.413963711381768
18.5,0.0497100228453203,0.794428269082596,0.173743727242983,0.0819619807785208,0.205423678244843,0,0.156073127125688,0.106308641382481,0.0963729234708226,0.952797822050965,0,0.147366604349686,0.337995063933156,0.526537690458961
19,0.0860039398579921,0.827782978415891,0.13307657704681,0.0410476786829885,0.0979656660667614,0.0457334991495613,0.326078329654314,0.180510282746572,0.0276107913888208,0.920158771844549,0.0227861475245778,0.141913734112561,0.434904821133929,0.575282120084134
19.5,0.013216405976729,0.770094674093872,0.142374960789741,0.0214198879696921,0.0498508683093367,0.0498955423219274,0.586339469157202,0.236549907888231,0.156744406726999,0.81970976061517,0.129737628979236,0.100432376569392,0.487965190516674,0.532272108724077
20,0.00259796401690714,0.687421191899408,0.0680901137721161,0,0.0282964401632863,0.0617850606872749,0.533659813013842,0.166768406553536,0.164161651840063,0.790999164052081,0.136436950136834,0.05265387798042,0.452161910163007,0.549921922030298
20.5,0,0.672661499340672,0,0.122624511941241,0,0.0764502260380962,0.0911346979377036,0.0791594577028618,0.123277543316805,0.883920377706291,0.0670825547456246,0,0.362355833066352,0.638401101722814
