"Variable","BIO","R_value","P_value","R_value_Max"
"Reconstructed megabiome shift rate","Annual mean temperature",0.307368593138165,0.0238469504365423,0.512875675084811
"Reconstructed megabiome shift rate","Temperature seasonality",0.327226016326014,0.0172025752861392,0.512875675084811
"Reconstructed megabiome shift rate","Mean temperature of wettest quarter",0.44802960516834,0.00146299379453654,0.512875675084811
"Reconstructed megabiome shift rate","Mean temperature of driest quarter",0.359217375007327,0.00973728680828292,0.512875675084811
"Reconstructed megabiome shift rate","Mean temperature of warmest quarter",0.423962912636392,0.00257105403064703,0.512875675084811
"Reconstructed megabiome shift rate","Mean temperature of coldest quarter",0.281239904041398,0.0355960632338081,0.512875675084811
"Reconstructed megabiome shift rate","Annual precipitation",0.355653639052475,0.010402953681387,0.512875675084811
"Reconstructed megabiome shift rate","Precipitation of wettest month",0.473443329475093,0.00112044562954744,0.512875675084811
"Reconstructed megabiome shift rate","Precipitation of driest month",0.210491557090076,0.0932542521147384,0.512875675084811
"Reconstructed megabiome shift rate","Precipitation seasonality",0.411695729743671,0.00337571081809063,0.512875675084811
"Reconstructed megabiome shift rate","Precipitation of wettest quarter",0.512875675084811,0.000257414127449289,0.512875675084811
"Reconstructed megabiome shift rate","Precipitation of driest quarter",0.216742979122037,0.0839909502190132,0.512875675084811
"Reconstructed megabiome shift rate","Precipitation of warmest quarter",0.0373788278290525,0.40826102450001,0.512875675084811
"Reconstructed megabiome shift rate","Precipitation of coldest quarter",0.298539236142801,0.0274026998423017,0.512875675084811
"Simulated megabiome shift rate","Annual mean temperature",0.853425819197211,3.49039805864427e-13,0.882965029123578
"Simulated megabiome shift rate","Temperature seasonality",0.779605201369982,5.8795723571001e-10,0.882965029123578
"Simulated megabiome shift rate","Mean temperature of wettest quarter",0.843685133479375,1.14982380524116e-12,0.882965029123578
"Simulated megabiome shift rate","Mean temperature of driest quarter",0.870918950234604,3.25313680904598e-14,0.882965029123578
"Simulated megabiome shift rate","Mean temperature of warmest quarter",0.882965029123578,5.14639280778588e-15,0.882965029123578
"Simulated megabiome shift rate","Mean temperature of coldest quarter",0.812834460947337,3.11659300977772e-11,0.882965029123578
"Simulated megabiome shift rate","Annual precipitation",0.840778204364956,1.61574507814677e-12,0.882965029123578
"Simulated megabiome shift rate","Precipitation of wettest month",0.721208807987241,9.9676766451314e-08,0.882965029123578
"Simulated megabiome shift rate","Precipitation of driest month",0.00737515785587167,0.481749095183003,0.882965029123578
"Simulated megabiome shift rate","Precipitation seasonality",0.834952713142174,3.13171669974099e-12,0.882965029123578
"Simulated megabiome shift rate","Precipitation of wettest quarter",0.787263733377584,3.1297651673432e-10,0.882965029123578
"Simulated megabiome shift rate","Precipitation of driest quarter",0.189605182567306,0.114556825164804,0.882965029123578
"Simulated megabiome shift rate","Precipitation of warmest quarter",-0.0100037933136086,0.475251123675556,0.882965029123578
"Simulated megabiome shift rate","Precipitation of coldest quarter",0.770310580784006,1.2231466641618e-09,0.882965029123578
"Biome compositional turnover","Annual mean temperature",0.412730312308204,0.00330032666064677,0.548427049619788
"Biome compositional turnover","Temperature seasonality",0.376000344377409,0.00706344792558345,0.548427049619788
"Biome compositional turnover","Mean temperature of wettest quarter",0.548427049619788,8.49063174468265e-05,0.548427049619788
"Biome compositional turnover","Mean temperature of driest quarter",0.449280908501205,0.00141914305736968,0.548427049619788
"Biome compositional turnover","Mean temperature of warmest quarter",0.492382304790284,0.000462649439694254,0.548427049619788
"Biome compositional turnover","Mean temperature of coldest quarter",0.370624576100937,0.00784214048524086,0.548427049619788
"Biome compositional turnover","Annual precipitation",0.435873818207363,0.00195482121692629,0.548427049619788
"Biome compositional turnover","Precipitation of wettest month",0.493205310409506,0.000680172369196113,0.548427049619788
"Biome compositional turnover","Precipitation of driest month",0.305445551258693,0.0260676834545261,0.548427049619788
"Biome compositional turnover","Precipitation seasonality",0.389663781156745,0.0053735989239932,0.548427049619788
"Biome compositional turnover","Precipitation of wettest quarter",0.490784629424002,0.000483552798063027,0.548427049619788
"Biome compositional turnover","Precipitation of driest quarter",0.327605499845951,0.0170922338141338,0.548427049619788
"Biome compositional turnover","Precipitation of warmest quarter",0.220280227733698,0.0831900274083669,0.548427049619788
"Biome compositional turnover","Precipitation of coldest quarter",0.32356350066569,0.018297901281812,0.548427049619788
