"Dataset_ID","Latitude","Longitude","Reconstruction","Simulation"
7,47,-80.1167,0.6,0
8,33.95639,-119.977,0,0
9,43.30556,41.33333,0,0
11,67.75,135.5833,0,0
12,55.93448,13.42774,0.08,0.2
15,-23.8333,-65.75,0,0
16,53.694,8.729075,0,0
19,47.11667,138.55,1,0.333333333333333
20,69.12326,27.67406,0.0476190476190476,0.142857142857143
24,53.3,-60.54,0,0
31,60.14,152.33,0,0.555555555555556
32,-15.2333,-68.9833,0.25,0
33,43.31667,131.8167,0,0
69,67.66667,178.6,0,0
200,43.26806,41.30833,0,0
202,46.41667,-92.7167,0.5,0
203,36.03,-85.5,0.05,0.25
204,45.725,-93.25,0.6,0
206,64.64,-128.08,0,0
208,67.13,-153.9,0.153846153846154,0.0769230769230769
209,47.48,-70.68,0.117647058823529,0.235294117647059
210,43.5,-105.45,0,0.0625
212,-3.16,-45.01,0,0
214,39.495,-95.5267,0,0.333333333333333
215,52.95,-6.43333,0.0833333333333333,0.0833333333333333
219,45.54,-73.31,0,0.0384615384615385
221,45.39,-79.5,0.0869565217391304,0.0434782608695652
224,78.49167,-76.78,0,0
225,52.19,-10.31,0.04,0.08
226,53.16667,-6.25,0.333333333333333,0.333333333333333
230,43.13333,131.6,0,0
232,30.63,-83.25,0,0
234,37.6,-119.01,0.571428571428571,0.0476190476190476
236,47.23,-79.78,0.458333333333333,0.0833333333333333
238,46.4,-78.9167,0,0
239,45.8,-122.49,0.305555555555556,0.0277777777777778
240,41.14389,-81.3286,0,0.375
245,47.18,-80.16,0.5,0.0714285714285714
250,37.47311,-108.16,0.166666666666667,0
252,-36.5167,149.5,0.206896551724138,0.137931034482759
253,65.01667,-127.483,0.04,0
254,42.25,-77.916667,0.206896551724138,0.0666666666666667
256,43.25,134.5667,0,0
258,54.04722,-76.1203,0.0666666666666667,0.0666666666666667
259,70.58333,145,0,0
260,42.51,-73.32,0,0
261,67.66667,135.5833,0.166666666666667,0
267,71.76,-124.24,0.36,0.08
268,72.37,-119.84,0.333333333333333,0.0833333333333333
269,73.53444,-120.209,0.0769230769230769,0.0769230769230769
272,47.55918,-94.9708,0.25,0
275,46.27058,-94.5516,0,0
278,35.62,-84.19,0,0
279,44.95611,-110.601,0.266666666666667,0.133333333333333
281,33.56333,-88.4744,0.2,0.1
285,-36.4,148.31,0.368421052631579,0.105263157894737
287,43.08333,-89.8667,0.0526315789473684,0
294,-27.7,-49.15,0.15625,0
298,47.1775,-95.1627,0.142857142857143,0
302,55.575,-119.433,0,0.208333333333333
303,55.33333,-63.2,0,0.0666666666666667
304,30.36,-97.1261,0.5625,0.125
306,47.45778,-69.4528,0.166666666666667,0.0833333333333333
307,55.25,-67.4,0,0.25
