"Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Timeslice","Reconstruction","Simulation"
7,"Three Pines Bog",47,-80.1167,294,"North America",0,3,3
7,"Three Pines Bog",47,-80.1167,294,"North America",0.5,4,3
7,"Three Pines Bog",47,-80.1167,294,"North America",1,4,3
7,"Three Pines Bog",47,-80.1167,294,"North America",1.5,3,3
7,"Three Pines Bog",47,-80.1167,294,"North America",2,4,3
7,"Three Pines Bog",47,-80.1167,294,"North America",2.5,3,3
7,"Three Pines Bog",47,-80.1167,294,"North America",3,3,3
7,"Three Pines Bog",47,-80.1167,294,"North America",3.5,3,3
7,"Three Pines Bog",47,-80.1167,294,"North America",4,3,3
7,"Three Pines Bog",47,-80.1167,294,"North America",4.5,4,3
7,"Three Pines Bog",47,-80.1167,294,"North America",5,3,3
7,"Three Pines Bog",47,-80.1167,294,"North America",5.5,3,3
7,"Three Pines Bog",47,-80.1167,294,"North America",6,4,3
7,"Three Pines Bog",47,-80.1167,294,"North America",6.5,3,3
7,"Three Pines Bog",47,-80.1167,294,"North America",7,4,3
7,"Three Pines Bog",47,-80.1167,294,"North America",7.5,4,3
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",0,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",0.5,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",1,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",1.5,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",2,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",2.5,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",3,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",3.5,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",4,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",4.5,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",5,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",5.5,6,6
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",6,6,6
9,"Adange",43.30556,41.33333,1750,"Europe",0,3,3
9,"Adange",43.30556,41.33333,1750,"Europe",0.5,3,3
9,"Adange",43.30556,41.33333,1750,"Europe",1,3,3
9,"Adange",43.30556,41.33333,1750,"Europe",1.5,3,3
9,"Adange",43.30556,41.33333,1750,"Europe",2,3,3
9,"Adange",43.30556,41.33333,1750,"Europe",2.5,3,3
9,"Adange",43.30556,41.33333,1750,"Europe",3,3,3
9,"Adange",43.30556,41.33333,1750,"Europe",3.5,3,3
9,"Adange",43.30556,41.33333,1750,"Europe",4.5,3,3
11,"Konus Exposure, Adycha River",67.75,135.5833,130,"Asia",1,4,8
11,"Konus Exposure, Adycha River",67.75,135.5833,130,"Asia",3,4,8
11,"Konus Exposure, Adycha River",67.75,135.5833,130,"Asia",5.5,4,8
11,"Konus Exposure, Adycha River",67.75,135.5833,130,"Asia",7,4,8
11,"Konus Exposure, Adycha River",67.75,135.5833,130,"Asia",7.5,4,8
11,"Konus Exposure, Adycha River",67.75,135.5833,130,"Asia",8.5,4,4
