"Dataset_ID","Latitude","Longitude","Continent","Timeslice_younger","Timeslice_older","Timeslice_span","EMD"
11,67.75,135.5833,"Asia",7,7.5,0.5,0.347731083631516
11,67.75,135.5833,"Asia",8.5,9,0.5,0.323916047811508
11,67.75,135.5833,"Asia",9,9.5,0.5,0.288467288017273
11,67.75,135.5833,"Asia",9.5,10,0.5,0.400588244199753
19,47.11667,138.55,"Asia",18,18.5,0.5,0.159673377871513
19,47.11667,138.55,"Asia",19.5,20,0.5,0.265342772006989
19,47.11667,138.55,"Asia",20,20.5,0.5,0.0994947552680969
31,60.14,152.33,"Asia",8,8.5,0.5,0.0566649436950684
31,60.14,152.33,"Asia",8.5,9,0.5,0.0821382477879524
31,60.14,152.33,"Asia",9,9.5,0.5,0.334785342216492
31,60.14,152.33,"Asia",9.5,10,0.5,0.169093370437622
31,60.14,152.33,"Asia",10,10.5,0.5,0.182955101132393
31,60.14,152.33,"Asia",10.5,11,0.5,0.0236054994165897
31,60.14,152.33,"Asia",11,11.5,0.5,0.284750998020172
31,60.14,152.33,"Asia",11.5,12,0.5,0.180180609226227
31,60.14,152.33,"Asia",20.5,21,0.5,0.202573239803314
33,43.31667,131.8167,"Asia",1.5,2,0.5,0.459723502397537
33,43.31667,131.8167,"Asia",2,2.5,0.5,0.347514510154724
33,43.31667,131.8167,"Asia",4.5,5,0.5,0.410183697938919
33,43.31667,131.8167,"Asia",5,5.5,0.5,0.218861758708954
69,67.66667,178.6,"Asia",2,2.5,0.5,0.447577655315399
69,67.66667,178.6,"Asia",2.5,3,0.5,0.355180948972702
230,43.13333,131.6,"Asia",5,5.5,0.5,0.214812725782394
230,43.13333,131.6,"Asia",7,7.5,0.5,0.17886608839035
256,43.25,134.5667,"Asia",4,4.5,0.5,0.309447765350342
256,43.25,134.5667,"Asia",5.5,6,0.5,0.527226388454437
256,43.25,134.5667,"Asia",6,6.5,0.5,0.225433126091957
256,43.25,134.5667,"Asia",6.5,7,0.5,0.273947060108185
259,70.58333,145,"Asia",16.5,17,0.5,0.231461465358734
259,70.58333,145,"Asia",17,17.5,0.5,0.213898599147797
259,70.58333,145,"Asia",18.5,19,0.5,0.200627774000168
259,70.58333,145,"Asia",19,19.5,0.5,0.214445576071739
259,70.58333,145,"Asia",19.5,20,0.5,0.216235443949699
259,70.58333,145,"Asia",20,20.5,0.5,0.197099953889847
261,67.66667,135.5833,"Asia",0,0.5,0.5,0.165605962276459
261,67.66667,135.5833,"Asia",0.5,1,0.5,0.140753567218781
261,67.66667,135.5833,"Asia",1,1.5,0.5,0.110686019062996
261,67.66667,135.5833,"Asia",1.5,2,0.5,0.105054646730423
261,67.66667,135.5833,"Asia",2,2.5,0.5,0.155445456504822
261,67.66667,135.5833,"Asia",2.5,3,0.5,0.0811025351285934
335,59.55,151.8333,"Asia",2,2.5,0.5,0.105525150895119
335,59.55,151.8333,"Asia",4.5,5,0.5,0.485177844762802
