"Source","Biome","Timeslice_younger","Timeslice_older","Site_number","EMD"
"Biome compositional turnover (EMD)","Northern Hemisphere",0,0.5,1941,0.238955178416398
"Biome compositional turnover (EMD)","Northern Hemisphere",0.5,1,2074,0.208938280522662
"Biome compositional turnover (EMD)","Northern Hemisphere",1,1.5,2047,0.183299425288342
"Biome compositional turnover (EMD)","Northern Hemisphere",1.5,2,2043,0.172700532605326
"Biome compositional turnover (EMD)","Northern Hemisphere",2,2.5,1992,0.174655805693517
"Biome compositional turnover (EMD)","Northern Hemisphere",2.5,3,1981,0.176583764220985
"Biome compositional turnover (EMD)","Northern Hemisphere",3,3.5,1933,0.17557821788289
"Biome compositional turnover (EMD)","Northern Hemisphere",3.5,4,1886,0.176731182930813
"Biome compositional turnover (EMD)","Northern Hemisphere",4,4.5,1824,0.168890979454979
"Biome compositional turnover (EMD)","Northern Hemisphere",4.5,5,1820,0.173083924132396
"Biome compositional turnover (EMD)","Northern Hemisphere",5,5.5,1804,0.176805305956655
"Biome compositional turnover (EMD)","Northern Hemisphere",5.5,6,1774,0.168296152209418
"Biome compositional turnover (EMD)","Northern Hemisphere",6,6.5,1705,0.170481982556235
"Biome compositional turnover (EMD)","Northern Hemisphere",6.5,7,1648,0.178713543214446
"Biome compositional turnover (EMD)","Northern Hemisphere",7,7.5,1621,0.182648008471369
"Biome compositional turnover (EMD)","Northern Hemisphere",7.5,8,1535,0.173126876273846
"Biome compositional turnover (EMD)","Northern Hemisphere",8,8.5,1482,0.191058333352564
"Biome compositional turnover (EMD)","Northern Hemisphere",8.5,9,1472,0.174706669144496
"Biome compositional turnover (EMD)","Northern Hemisphere",9,9.5,1372,0.185525834631676
"Biome compositional turnover (EMD)","Northern Hemisphere",9.5,10,1303,0.186353595999978
"Biome compositional turnover (EMD)","Northern Hemisphere",10,10.5,1207,0.185851421168374
"Biome compositional turnover (EMD)","Northern Hemisphere",10.5,11,1122,0.186929472871203
"Biome compositional turnover (EMD)","Northern Hemisphere",11,11.5,1061,0.211830694706429
"Biome compositional turnover (EMD)","Northern Hemisphere",11.5,12,986,0.21519857883535
"Biome compositional turnover (EMD)","Northern Hemisphere",12,12.5,892,0.209943265130633
"Biome compositional turnover (EMD)","Northern Hemisphere",12.5,13,821,0.222644094537534
"Biome compositional turnover (EMD)","Northern Hemisphere",13,13.5,723,0.212569276540694
"Biome compositional turnover (EMD)","Northern Hemisphere",13.5,14,626,0.216322731877498
"Biome compositional turnover (EMD)","Northern Hemisphere",14,14.5,525,0.205597102561901
"Biome compositional turnover (EMD)","Northern Hemisphere",14.5,15,437,0.204417095037966
"Biome compositional turnover (EMD)","Northern Hemisphere",15,15.5,372,0.188275256347793
"Biome compositional turnover (EMD)","Northern Hemisphere",15.5,16,314,0.23567420422055
"Biome compositional turnover (EMD)","Northern Hemisphere",16,16.5,275,0.190186531988812
"Biome compositional turnover (EMD)","Northern Hemisphere",16.5,17,235,0.206074720339161
"Biome compositional turnover (EMD)","Northern Hemisphere",17,17.5,209,0.218546964219628
"Biome compositional turnover (EMD)","Northern Hemisphere",17.5,18,183,0.193126961131735
"Biome compositional turnover (EMD)","Northern Hemisphere",18,18.5,159,0.195059394274337
"Biome compositional turnover (EMD)","Northern Hemisphere",18.5,19,138,0.226120962641361
"Biome compositional turnover (EMD)","Northern Hemisphere",19,19.5,143,0.218167354373102
"Biome compositional turnover (EMD)","Northern Hemisphere",19.5,20,123,0.193400300240138
"Biome compositional turnover (EMD)","Northern Hemisphere",20,20.5,111,0.160051738149139
"Biome compositional turnover (EMD)","Northern Hemisphere",20.5,21,105,0.160923920084271
"Biome compositional turnover (EMD)","TRFO",0,0.5,49,0.27504688501358
"Biome compositional turnover (EMD)","TRFO",0.5,1,52,0.245324954390526
"Biome compositional turnover (EMD)","TRFO",1,1.5,49,0.243674129247665
"Biome compositional turnover (EMD)","TRFO",1.5,2,53,0.224724978208542
"Biome compositional turnover (EMD)","TRFO",2,2.5,57,0.240897253155708
