"Biome","Timeslice_younger","Timeslice_older","Site_number","Proportion","Source"
"Northern Hemisphere",0,0.5,1941,0.213615097191589,"Pollen-based reconstruction"
"Northern Hemisphere",0.5,1,2074,0.217613162663672,"Pollen-based reconstruction"
"Northern Hemisphere",1,1.5,2047,0.211826843056427,"Pollen-based reconstruction"
"Northern Hemisphere",1.5,2,2043,0.210464327831513,"Pollen-based reconstruction"
"Northern Hemisphere",2,2.5,1992,0.182992362735272,"Pollen-based reconstruction"
"Northern Hemisphere",2.5,3,1981,0.180975869316766,"Pollen-based reconstruction"
"Northern Hemisphere",3,3.5,1933,0.177566798523493,"Pollen-based reconstruction"
"Northern Hemisphere",3.5,4,1886,0.163279814028901,"Pollen-based reconstruction"
"Northern Hemisphere",4,4.5,1824,0.167071199793268,"Pollen-based reconstruction"
"Northern Hemisphere",4.5,5,1820,0.15906901459686,"Pollen-based reconstruction"
"Northern Hemisphere",5,5.5,1804,0.153218564299061,"Pollen-based reconstruction"
"Northern Hemisphere",5.5,6,1774,0.176575210782346,"Pollen-based reconstruction"
"Northern Hemisphere",6,6.5,1705,0.190092216562361,"Pollen-based reconstruction"
"Northern Hemisphere",6.5,7,1648,0.1562600206043,"Pollen-based reconstruction"
"Northern Hemisphere",7,7.5,1621,0.196244730220116,"Pollen-based reconstruction"
"Northern Hemisphere",7.5,8,1535,0.172969675689291,"Pollen-based reconstruction"
"Northern Hemisphere",8,8.5,1482,0.193827668412237,"Pollen-based reconstruction"
"Northern Hemisphere",8.5,9,1472,0.176907618301814,"Pollen-based reconstruction"
"Northern Hemisphere",9,9.5,1372,0.186916663248616,"Pollen-based reconstruction"
"Northern Hemisphere",9.5,10,1303,0.185298658747219,"Pollen-based reconstruction"
"Northern Hemisphere",10,10.5,1207,0.227897662472053,"Pollen-based reconstruction"
"Northern Hemisphere",10.5,11,1122,0.23224482372897,"Pollen-based reconstruction"
"Northern Hemisphere",11,11.5,1061,0.254443384138127,"Pollen-based reconstruction"
"Northern Hemisphere",11.5,12,986,0.249242558326505,"Pollen-based reconstruction"
"Northern Hemisphere",12,12.5,892,0.272163820004793,"Pollen-based reconstruction"
"Northern Hemisphere",12.5,13,821,0.283039275062066,"Pollen-based reconstruction"
"Northern Hemisphere",13,13.5,723,0.324143778751192,"Pollen-based reconstruction"
"Northern Hemisphere",13.5,14,626,0.302833317613333,"Pollen-based reconstruction"
"Northern Hemisphere",14,14.5,525,0.271058750291759,"Pollen-based reconstruction"
"Northern Hemisphere",14.5,15,437,0.273794471368202,"Pollen-based reconstruction"
"Northern Hemisphere",15,15.5,372,0.259737711449743,"Pollen-based reconstruction"
"Northern Hemisphere",15.5,16,314,0.30783406792514,"Pollen-based reconstruction"
"Northern Hemisphere",16,16.5,275,0.252192822108213,"Pollen-based reconstruction"
"Northern Hemisphere",16.5,17,235,0.19518202287711,"Pollen-based reconstruction"
"Northern Hemisphere",17,17.5,209,0.222094395004427,"Pollen-based reconstruction"
"Northern Hemisphere",17.5,18,183,0.235045452157123,"Pollen-based reconstruction"
"Northern Hemisphere",18,18.5,159,0.37416028424725,"Pollen-based reconstruction"
"Northern Hemisphere",18.5,19,138,0.332150366628321,"Pollen-based reconstruction"
"Northern Hemisphere",19,19.5,143,0.332750622494211,"Pollen-based reconstruction"
"Northern Hemisphere",19.5,20,123,0.308476448588651,"Pollen-based reconstruction"
"Northern Hemisphere",20,20.5,111,0.199503975856187,"Pollen-based reconstruction"
"Northern Hemisphere",20.5,21,105,0.155838415090293,"Pollen-based reconstruction"
"TRFO",0,0.5,49,0.183673469387755,"Pollen-based reconstruction"
"TRFO",0.5,1,52,0.211538461538462,"Pollen-based reconstruction"
"TRFO",1,1.5,49,0.224489795918367,"Pollen-based reconstruction"
"TRFO",1.5,2,53,0.132075471698113,"Pollen-based reconstruction"
"TRFO",2,2.5,57,0.140350877192982,"Pollen-based reconstruction"
"TRFO",2.5,3,55,0.218181818181818,"Pollen-based reconstruction"
"TRFO",3,3.5,54,0.166666666666667,"Pollen-based reconstruction"
"TRFO",3.5,4,52,0.153846153846154,"Pollen-based reconstruction"
"TRFO",4,4.5,46,0.195652173913043,"Pollen-based reconstruction"
"TRFO",4.5,5,45,0.111111111111111,"Pollen-based reconstruction"
"TRFO",5,5.5,44,0.0681818181818182,"Pollen-based reconstruction"
"TRFO",5.5,6,37,0.135135135135135,"Pollen-based reconstruction"
"TRFO",6,6.5,37,0.162162162162162,"Pollen-based reconstruction"
"TRFO",6.5,7,34,0.176470588235294,"Pollen-based reconstruction"
"TRFO",7,7.5,34,0.147058823529412,"Pollen-based reconstruction"
"TRFO",7.5,8,33,0.151515151515152,"Pollen-based reconstruction"
"TRFO",8,8.5,30,0.166666666666667,"Pollen-based reconstruction"
"TRFO",8.5,9,31,0.290322580645161,"Pollen-based reconstruction"
"TRFO",9,9.5,24,0.125,"Pollen-based reconstruction"
"TRFO",9.5,10,22,0.181818181818182,"Pollen-based reconstruction"
"TRFO",10,10.5,19,0.210526315789474,"Pollen-based reconstruction"
"TRFO",10.5,11,19,0.105263157894737,"Pollen-based reconstruction"
"TRFO",11,11.5,18,0.222222222222222,"Pollen-based reconstruction"
"TRFO",11.5,12,16,0.0625,"Pollen-based reconstruction"
"TRFO",12,12.5,17,0.352941176470588,"Pollen-based reconstruction"
"TRFO",12.5,13,20,0.3,"Pollen-based reconstruction"
"TRFO",13,13.5,19,0.105263157894737,"Pollen-based reconstruction"
"TRFO",13.5,14,18,0.166666666666667,"Pollen-based reconstruction"
"TRFO",14,14.5,19,0.157894736842105,"Pollen-based reconstruction"
"TRFO",14.5,15,18,0.111111111111111,"Pollen-based reconstruction"
"TRFO",15,15.5,14,0.0714285714285714,"Pollen-based reconstruction"
"TRFO",15.5,16,15,0,"Pollen-based reconstruction"
"TRFO",16,16.5,13,0.230769230769231,"Pollen-based reconstruction"
"TRFO",16.5,17,14,0.142857142857143,"Pollen-based reconstruction"
"TRFO",17,17.5,15,0.266666666666667,"Pollen-based reconstruction"
"TRFO",17.5,18,13,0.0769230769230769,"Pollen-based reconstruction"
"TRFO",18,18.5,9,0.333333333333333,"Pollen-based reconstruction"
"TRFO",18.5,19,11,0.181818181818182,"Pollen-based reconstruction"
"TRFO",19,19.5,11,0.0909090909090909,"Pollen-based reconstruction"
"TRFO",19.5,20,10,0.1,"Pollen-based reconstruction"
"TRFO",20,20.5,12,0.166666666666667,"Pollen-based reconstruction"
"TRFO",20.5,21,10,0,"Pollen-based reconstruction"
"WTFO",0,0.5,38,0.210526315789474,"Pollen-based reconstruction"
"WTFO",0.5,1,46,0.173913043478261,"Pollen-based reconstruction"
"WTFO",1,1.5,48,0.1875,"Pollen-based reconstruction"
"WTFO",1.5,2,50,0.14,"Pollen-based reconstruction"
"WTFO",2,2.5,51,0.235294117647059,"Pollen-based reconstruction"
"WTFO",2.5,3,51,0.176470588235294,"Pollen-based reconstruction"
"WTFO",3,3.5,48,0.145833333333333,"Pollen-based reconstruction"
"WTFO",3.5,4,42,0.0952380952380952,"Pollen-based reconstruction"
"WTFO",4,4.5,41,0.219512195121951,"Pollen-based reconstruction"
"WTFO",4.5,5,45,0.133333333333333,"Pollen-based reconstruction"
"WTFO",5,5.5,40,0.1,"Pollen-based reconstruction"
"WTFO",5.5,6,34,0.176470588235294,"Pollen-based reconstruction"
"WTFO",6,6.5,35,0.114285714285714,"Pollen-based reconstruction"
"WTFO",6.5,7,33,0.151515151515152,"Pollen-based reconstruction"
"WTFO",7,7.5,33,0.151515151515152,"Pollen-based reconstruction"
"WTFO",7.5,8,28,0.214285714285714,"Pollen-based reconstruction"
"WTFO",8,8.5,26,0.230769230769231,"Pollen-based reconstruction"
"WTFO",8.5,9,25,0.2,"Pollen-based reconstruction"
"WTFO",9,9.5,21,0.285714285714286,"Pollen-based reconstruction"
"WTFO",9.5,10,18,0.277777777777778,"Pollen-based reconstruction"
"WTFO",10,10.5,14,0.357142857142857,"Pollen-based reconstruction"
"WTFO",10.5,11,15,0.2,"Pollen-based reconstruction"
"WTFO",11,11.5,13,0.153846153846154,"Pollen-based reconstruction"
"WTFO",11.5,12,13,0.153846153846154,"Pollen-based reconstruction"
"WTFO",12,12.5,11,0.181818181818182,"Pollen-based reconstruction"
"WTFO",12.5,13,13,0.153846153846154,"Pollen-based reconstruction"
"WTFO",13,13.5,11,0.454545454545455,"Pollen-based reconstruction"
"WTFO",13.5,14,12,0.25,"Pollen-based reconstruction"
"WTFO",14,14.5,11,0,"Pollen-based reconstruction"
"WTFO",14.5,15,10,0.1,"Pollen-based reconstruction"
"WTFO",15,15.5,13,0.230769230769231,"Pollen-based reconstruction"
"WTFO",15.5,16,12,0.166666666666667,"Pollen-based reconstruction"
"WTFO",16,16.5,11,0.181818181818182,"Pollen-based reconstruction"
"WTFO",16.5,17,11,0.0909090909090909,"Pollen-based reconstruction"
"WTFO",17,17.5,10,0.3,"Pollen-based reconstruction"
"WTFO",17.5,18,8,0.25,"Pollen-based reconstruction"
"WTFO",18,18.5,9,0.111111111111111,"Pollen-based reconstruction"
"WTFO",18.5,19,8,0.375,"Pollen-based reconstruction"
"WTFO",19,19.5,9,0.333333333333333,"Pollen-based reconstruction"
"WTFO",19.5,20,8,0,"Pollen-based reconstruction"
"WTFO",20,20.5,9,0.111111111111111,"Pollen-based reconstruction"
"WTFO",20.5,21,8,0.125,"Pollen-based reconstruction"
"TEFO",0,0.5,1173,0.112531969309463,"Pollen-based reconstruction"
"TEFO",0.5,1,1257,0.106603023070804,"Pollen-based reconstruction"
"TEFO",1,1.5,1255,0.0908366533864542,"Pollen-based reconstruction"
"TEFO",1.5,2,1245,0.0843373493975904,"Pollen-based reconstruction"
"TEFO",2,2.5,1201,0.0807660283097419,"Pollen-based reconstruction"
"TEFO",2.5,3,1183,0.0701606086221471,"Pollen-based reconstruction"
"TEFO",3,3.5,1145,0.0602620087336245,"Pollen-based reconstruction"
"TEFO",3.5,4,1112,0.0629496402877698,"Pollen-based reconstruction"
"TEFO",4,4.5,1079,0.0611677479147359,"Pollen-based reconstruction"
"TEFO",4.5,5,1055,0.0625592417061611,"Pollen-based reconstruction"
"TEFO",5,5.5,1041,0.0720461095100865,"Pollen-based reconstruction"
"TEFO",5.5,6,1043,0.062320230105465,"Pollen-based reconstruction"
"TEFO",6,6.5,991,0.0635721493440969,"Pollen-based reconstruction"
"TEFO",6.5,7,936,0.061965811965812,"Pollen-based reconstruction"
"TEFO",7,7.5,928,0.0625,"Pollen-based reconstruction"
"TEFO",7.5,8,887,0.0653889515219842,"Pollen-based reconstruction"
"TEFO",8,8.5,846,0.0791962174940898,"Pollen-based reconstruction"
"TEFO",8.5,9,835,0.101796407185629,"Pollen-based reconstruction"
"TEFO",9,9.5,795,0.0930817610062893,"Pollen-based reconstruction"
"TEFO",9.5,10,769,0.135240572171652,"Pollen-based reconstruction"
"TEFO",10,10.5,732,0.202185792349727,"Pollen-based reconstruction"
"TEFO",10.5,11,689,0.264150943396226,"Pollen-based reconstruction"
"TEFO",11,11.5,666,0.267267267267267,"Pollen-based reconstruction"
"TEFO",11.5,12,618,0.27831715210356,"Pollen-based reconstruction"
"TEFO",12,12.5,554,0.292418772563177,"Pollen-based reconstruction"
"TEFO",12.5,13,525,0.274285714285714,"Pollen-based reconstruction"
"TEFO",13,13.5,461,0.24295010845987,"Pollen-based reconstruction"
"TEFO",13.5,14,401,0.296758104738155,"Pollen-based reconstruction"
"TEFO",14,14.5,343,0.274052478134111,"Pollen-based reconstruction"
"TEFO",14.5,15,284,0.299295774647887,"Pollen-based reconstruction"
"TEFO",15,15.5,236,0.266949152542373,"Pollen-based reconstruction"
"TEFO",15.5,16,187,0.294117647058824,"Pollen-based reconstruction"
"TEFO",16,16.5,165,0.327272727272727,"Pollen-based reconstruction"
"TEFO",16.5,17,143,0.300699300699301,"Pollen-based reconstruction"
"TEFO",17,17.5,123,0.292682926829268,"Pollen-based reconstruction"
"TEFO",17.5,18,108,0.268518518518519,"Pollen-based reconstruction"
"TEFO",18,18.5,93,0.301075268817204,"Pollen-based reconstruction"
"TEFO",18.5,19,75,0.333333333333333,"Pollen-based reconstruction"
"TEFO",19,19.5,75,0.28,"Pollen-based reconstruction"
"TEFO",19.5,20,62,0.274193548387097,"Pollen-based reconstruction"
"TEFO",20,20.5,48,0.1875,"Pollen-based reconstruction"
"TEFO",20.5,21,50,0.28,"Pollen-based reconstruction"
"BOFO",0,0.5,412,0.138349514563107,"Pollen-based reconstruction"
"BOFO",0.5,1,425,0.155294117647059,"Pollen-based reconstruction"
"BOFO",1,1.5,419,0.133651551312649,"Pollen-based reconstruction"
"BOFO",1.5,2,422,0.132701421800948,"Pollen-based reconstruction"
"BOFO",2,2.5,410,0.151219512195122,"Pollen-based reconstruction"
"BOFO",2.5,3,414,0.140096618357488,"Pollen-based reconstruction"
"BOFO",3,3.5,406,0.118226600985222,"Pollen-based reconstruction"
"BOFO",3.5,4,405,0.155555555555556,"Pollen-based reconstruction"
"BOFO",4,4.5,398,0.120603015075377,"Pollen-based reconstruction"
"BOFO",4.5,5,409,0.144254278728606,"Pollen-based reconstruction"
"BOFO",5,5.5,417,0.100719424460432,"Pollen-based reconstruction"
"BOFO",5.5,6,406,0.0935960591133005,"Pollen-based reconstruction"
"BOFO",6,6.5,404,0.118811881188119,"Pollen-based reconstruction"
"BOFO",6.5,7,401,0.127182044887781,"Pollen-based reconstruction"
"BOFO",7,7.5,389,0.174807197943445,"Pollen-based reconstruction"
"BOFO",7.5,8,367,0.136239782016349,"Pollen-based reconstruction"
"BOFO",8,8.5,350,0.128571428571429,"Pollen-based reconstruction"
"BOFO",8.5,9,353,0.147308781869688,"Pollen-based reconstruction"
"BOFO",9,9.5,317,0.151419558359621,"Pollen-based reconstruction"
"BOFO",9.5,10,297,0.191919191919192,"Pollen-based reconstruction"
"BOFO",10,10.5,265,0.20377358490566,"Pollen-based reconstruction"
"BOFO",10.5,11,238,0.222689075630252,"Pollen-based reconstruction"
"BOFO",11,11.5,215,0.302325581395349,"Pollen-based reconstruction"
"BOFO",11.5,12,206,0.237864077669903,"Pollen-based reconstruction"
"BOFO",12,12.5,195,0.225641025641026,"Pollen-based reconstruction"
"BOFO",12.5,13,159,0.245283018867925,"Pollen-based reconstruction"
"BOFO",13,13.5,137,0.335766423357664,"Pollen-based reconstruction"
"BOFO",13.5,14,113,0.292035398230089,"Pollen-based reconstruction"
"BOFO",14,14.5,86,0.372093023255814,"Pollen-based reconstruction"
"BOFO",14.5,15,69,0.347826086956522,"Pollen-based reconstruction"
"BOFO",15,15.5,56,0.375,"Pollen-based reconstruction"
"BOFO",15.5,16,51,0.392156862745098,"Pollen-based reconstruction"
"BOFO",16,16.5,47,0.297872340425532,"Pollen-based reconstruction"
"BOFO",16.5,17,33,0.393939393939394,"Pollen-based reconstruction"
"BOFO",17,17.5,24,0.208333333333333,"Pollen-based reconstruction"
"BOFO",17.5,18,22,0.227272727272727,"Pollen-based reconstruction"
"BOFO",18,18.5,18,0.444444444444444,"Pollen-based reconstruction"
"BOFO",18.5,19,14,0.428571428571429,"Pollen-based reconstruction"
"BOFO",19,19.5,16,0.375,"Pollen-based reconstruction"
"BOFO",19.5,20,13,0.461538461538462,"Pollen-based reconstruction"
"BOFO",20,20.5,13,0.384615384615385,"Pollen-based reconstruction"
"BOFO",20.5,21,14,0.357142857142857,"Pollen-based reconstruction"
"SAVA",0,0.5,23,0.260869565217391,"Pollen-based reconstruction"
"SAVA",0.5,1,23,0.391304347826087,"Pollen-based reconstruction"
"SAVA",1,1.5,21,0.380952380952381,"Pollen-based reconstruction"
"SAVA",1.5,2,24,0.291666666666667,"Pollen-based reconstruction"
"SAVA",2,2.5,21,0.142857142857143,"Pollen-based reconstruction"
"SAVA",2.5,3,22,0.0909090909090909,"Pollen-based reconstruction"
"SAVA",3,3.5,17,0.0588235294117647,"Pollen-based reconstruction"
"SAVA",3.5,4,16,0.1875,"Pollen-based reconstruction"
"SAVA",4,4.5,18,0.111111111111111,"Pollen-based reconstruction"
"SAVA",4.5,5,22,0.0909090909090909,"Pollen-based reconstruction"
"SAVA",5,5.5,19,0.0526315789473684,"Pollen-based reconstruction"
"SAVA",5.5,6,16,0.125,"Pollen-based reconstruction"
"SAVA",6,6.5,17,0.176470588235294,"Pollen-based reconstruction"
"SAVA",6.5,7,19,0.0526315789473684,"Pollen-based reconstruction"
"SAVA",7,7.5,17,0.117647058823529,"Pollen-based reconstruction"
"SAVA",7.5,8,16,0.125,"Pollen-based reconstruction"
"SAVA",8,8.5,16,0.125,"Pollen-based reconstruction"
"SAVA",8.5,9,14,0.142857142857143,"Pollen-based reconstruction"
"SAVA",9,9.5,15,0.2,"Pollen-based reconstruction"
"SAVA",9.5,10,15,0.266666666666667,"Pollen-based reconstruction"
"SAVA",10,10.5,16,0.3125,"Pollen-based reconstruction"
"SAVA",10.5,11,17,0.411764705882353,"Pollen-based reconstruction"
"SAVA",11,11.5,17,0.352941176470588,"Pollen-based reconstruction"
"SAVA",11.5,12,14,0.142857142857143,"Pollen-based reconstruction"
"SAVA",12,12.5,14,0.357142857142857,"Pollen-based reconstruction"
"SAVA",12.5,13,13,0.153846153846154,"Pollen-based reconstruction"
"SAVA",13,13.5,9,0.111111111111111,"Pollen-based reconstruction"
"SAVA",13.5,14,9,0.222222222222222,"Pollen-based reconstruction"
"SAVA",14,14.5,8,0.125,"Pollen-based reconstruction"
"SAVA",14.5,15,7,0.428571428571429,"Pollen-based reconstruction"
"SAVA",15,15.5,7,0.142857142857143,"Pollen-based reconstruction"
"SAVA",15.5,16,5,0.2,"Pollen-based reconstruction"
"SAVA",16,16.5,5,0.4,"Pollen-based reconstruction"
"SAVA",16.5,17,7,0.142857142857143,"Pollen-based reconstruction"
"SAVA",17,17.5,6,0,"Pollen-based reconstruction"
"SAVA",17.5,18,5,0.4,"Pollen-based reconstruction"
"SAVA",18,18.5,5,0.2,"Pollen-based reconstruction"
"SAVA",18.5,19,4,0,"Pollen-based reconstruction"
"SAVA",19,19.5,4,0,"Pollen-based reconstruction"
"SAVA",19.5,20,4,0.25,"Pollen-based reconstruction"
"SAVA",20,20.5,4,0.25,"Pollen-based reconstruction"
"SAVA",20.5,21,4,0,"Pollen-based reconstruction"
"STEP",0,0.5,125,0.312,"Pollen-based reconstruction"
"STEP",0.5,1,141,0.276595744680851,"Pollen-based reconstruction"
"STEP",1,1.5,136,0.338235294117647,"Pollen-based reconstruction"
"STEP",1.5,2,128,0.3359375,"Pollen-based reconstruction"
"STEP",2,2.5,130,0.323076923076923,"Pollen-based reconstruction"
"STEP",2.5,3,133,0.255639097744361,"Pollen-based reconstruction"
"STEP",3,3.5,134,0.246268656716418,"Pollen-based reconstruction"
"STEP",3.5,4,132,0.227272727272727,"Pollen-based reconstruction"
"STEP",4,4.5,122,0.270491803278689,"Pollen-based reconstruction"
"STEP",4.5,5,124,0.298387096774194,"Pollen-based reconstruction"
"STEP",5,5.5,122,0.262295081967213,"Pollen-based reconstruction"
"STEP",5.5,6,117,0.341880341880342,"Pollen-based reconstruction"
"STEP",6,6.5,110,0.281818181818182,"Pollen-based reconstruction"
"STEP",6.5,7,109,0.256880733944954,"Pollen-based reconstruction"
"STEP",7,7.5,109,0.275229357798165,"Pollen-based reconstruction"
"STEP",7.5,8,103,0.29126213592233,"Pollen-based reconstruction"
"STEP",8,8.5,106,0.320754716981132,"Pollen-based reconstruction"
"STEP",8.5,9,107,0.196261682242991,"Pollen-based reconstruction"
"STEP",9,9.5,101,0.287128712871287,"Pollen-based reconstruction"
"STEP",9.5,10,93,0.279569892473118,"Pollen-based reconstruction"
"STEP",10,10.5,87,0.298850574712644,"Pollen-based reconstruction"
"STEP",10.5,11,81,0.259259259259259,"Pollen-based reconstruction"
"STEP",11,11.5,81,0.333333333333333,"Pollen-based reconstruction"
"STEP",11.5,12,71,0.323943661971831,"Pollen-based reconstruction"
"STEP",12,12.5,62,0.32258064516129,"Pollen-based reconstruction"
"STEP",12.5,13,61,0.262295081967213,"Pollen-based reconstruction"
"STEP",13,13.5,53,0.358490566037736,"Pollen-based reconstruction"
"STEP",13.5,14,41,0.195121951219512,"Pollen-based reconstruction"
"STEP",14,14.5,36,0.194444444444444,"Pollen-based reconstruction"
"STEP",14.5,15,26,0.230769230769231,"Pollen-based reconstruction"
"STEP",15,15.5,24,0.291666666666667,"Pollen-based reconstruction"
"STEP",15.5,16,27,0.296296296296296,"Pollen-based reconstruction"
"STEP",16,16.5,25,0.24,"Pollen-based reconstruction"
"STEP",16.5,17,18,0.111111111111111,"Pollen-based reconstruction"
"STEP",17,17.5,16,0.3125,"Pollen-based reconstruction"
"STEP",17.5,18,15,0.4,"Pollen-based reconstruction"
"STEP",18,18.5,13,0.230769230769231,"Pollen-based reconstruction"
"STEP",18.5,19,14,0.285714285714286,"Pollen-based reconstruction"
"STEP",19,19.5,14,0.5,"Pollen-based reconstruction"
"STEP",19.5,20,12,0.25,"Pollen-based reconstruction"
"STEP",20,20.5,14,0.0714285714285714,"Pollen-based reconstruction"
"STEP",20.5,21,10,0,"Pollen-based reconstruction"
"DESE",0,0.5,17,0.411764705882353,"Pollen-based reconstruction"
"DESE",0.5,1,19,0.368421052631579,"Pollen-based reconstruction"
"DESE",1,1.5,17,0.294117647058824,"Pollen-based reconstruction"
"DESE",1.5,2,18,0.333333333333333,"Pollen-based reconstruction"
"DESE",2,2.5,19,0.157894736842105,"Pollen-based reconstruction"
"DESE",2.5,3,20,0.35,"Pollen-based reconstruction"
"DESE",3,3.5,20,0.45,"Pollen-based reconstruction"
"DESE",3.5,4,21,0.238095238095238,"Pollen-based reconstruction"
"DESE",4,4.5,20,0.25,"Pollen-based reconstruction"
"DESE",4.5,5,18,0.166666666666667,"Pollen-based reconstruction"
"DESE",5,5.5,16,0.25,"Pollen-based reconstruction"
"DESE",5.5,6,17,0.294117647058824,"Pollen-based reconstruction"
"DESE",6,6.5,14,0.357142857142857,"Pollen-based reconstruction"
"DESE",6.5,7,15,0.2,"Pollen-based reconstruction"
"DESE",7,7.5,14,0.357142857142857,"Pollen-based reconstruction"
"DESE",7.5,8,14,0.214285714285714,"Pollen-based reconstruction"
"DESE",8,8.5,16,0.375,"Pollen-based reconstruction"
"DESE",8.5,9,12,0.25,"Pollen-based reconstruction"
"DESE",9,9.5,12,0.166666666666667,"Pollen-based reconstruction"
"DESE",9.5,10,11,0,"Pollen-based reconstruction"
"DESE",10,10.5,9,0.111111111111111,"Pollen-based reconstruction"
"DESE",10.5,11,9,0.111111111111111,"Pollen-based reconstruction"
"DESE",11,11.5,6,0,"Pollen-based reconstruction"
"DESE",11.5,12,8,0.25,"Pollen-based reconstruction"
"DESE",12,12.5,6,0.166666666666667,"Pollen-based reconstruction"
"DESE",12.5,13,6,0.5,"Pollen-based reconstruction"
"DESE",13,13.5,5,0.6,"Pollen-based reconstruction"
"DESE",13.5,14,5,0.6,"Pollen-based reconstruction"
"DESE",14,14.5,5,0.4,"Pollen-based reconstruction"
"DESE",14.5,15,5,0.2,"Pollen-based reconstruction"
"DESE",15,15.5,4,0.25,"Pollen-based reconstruction"
"DESE",15.5,16,2,0.5,"Pollen-based reconstruction"
"DESE",16,16.5,1,0,"Pollen-based reconstruction"
"DESE",16.5,17,1,0,"Pollen-based reconstruction"
"DESE",17,17.5,1,0,"Pollen-based reconstruction"
"DESE",17.5,18,2,0,"Pollen-based reconstruction"
"DESE",18,18.5,3,0.666666666666667,"Pollen-based reconstruction"
"DESE",18.5,19,2,0.5,"Pollen-based reconstruction"
"DESE",19,19.5,2,0.5,"Pollen-based reconstruction"
"DESE",19.5,20,2,0.5,"Pollen-based reconstruction"
"DESE",20,20.5,0,NA,"Pollen-based reconstruction"
"DESE",20.5,21,0,NA,"Pollen-based reconstruction"
"TUND",0,0.5,104,0.192307692307692,"Pollen-based reconstruction"
