"Biome","Timeslice","Site_number","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Northern Hemisphere",0,2053,5.9187624807355,825.132896900033,9.54577185883274,4.94470564507852,15.726042748138,-4.73746092708683,827.475419612179,119.292591320941,29.3802129624223,48.9813492859858,322.33128607691,102.093150537137,233.283591092154,149.958592213071
"Northern Hemisphere",0.5,2266,5.59310644244125,814.21433205115,9.41889681325595,4.95135984309122,15.310262813523,-4.75744204498462,845.336156710868,119.304058964276,30.640535015424,48.6976443895631,325.452163386758,103.548112260687,234.539020651576,148.923213360029
"Northern Hemisphere",1,2241,5.59410643069652,811.456258286961,9.88801570494372,3.89045898993714,15.246479244737,-4.88249353567492,837.853343957027,123.339691294658,29.6612117401054,49.5561854426013,329.900839042247,100.808376979861,235.116725824242,141.297242924614
"Northern Hemisphere",1.5,2264,5.54962840409321,813.916087980353,10.0525830812907,3.96242222453638,15.3870816466926,-4.83618858177122,855.002252810363,123.196044286304,30.8937367956806,48.8563059833104,335.776501023361,103.014469000036,244.609211916351,144.833635304544
"Northern Hemisphere",2,2209,5.37753502646189,810.356832854957,10.0969615486593,2.19668403951316,15.2211032052709,-5.12615409142464,842.225576343976,124.449173806682,29.7440928160474,49.8291066206409,330.66291676065,102.087981522827,237.95352198529,143.870324845593
"Northern Hemisphere",2.5,2200,5.30669647472344,812.352982759396,9.86603010084241,2.20713978143648,15.1870262835961,-5.05786447399062,861.597095997403,128.436820463183,29.9641618768724,49.1573166606833,344.793149588586,104.740190766393,270.274446016472,142.371393432815
"Northern Hemisphere",3,2156,5.17182795747725,821.009399004955,10.1962738921755,2.12723953298055,15.2726492491563,-5.1976862107744,863.15675961066,128.409174026737,30.2039421527859,49.2148981923077,345.756842653159,105.185761514196,260.35750992657,143.60511914693
"Northern Hemisphere",3.5,2104,5.23203474634487,819.130914673376,10.0490471113484,1.6885641270336,15.3555866879806,-5.04322071259134,869.956302674488,131.021480278661,29.8914391580976,49.964618618753,353.260505802874,105.062896797971,274.947733428254,145.93274696208
"Northern Hemisphere",4,2059,5.01797161447646,828.323449149844,9.95673108296226,2.28833865938893,15.43979902633,-5.27449698871548,831.519875863518,128.912546205487,28.7906303731655,50.4991062755385,336.965947791455,100.829710762147,266.791344841517,140.27575154604
"Northern Hemisphere",4.5,2016,4.97875728661503,828.509553272715,9.74527443153064,2.26621529579885,15.5403143141993,-5.1925613423335,851.06279082054,131.867528782377,29.2200003911312,50.0559143577605,354.727344125369,101.431197936792,278.351490098344,152.293899151705
"Northern Hemisphere",5,2022,4.84075047268558,850.799999001831,10.1171911811483,1.89618628132662,15.7447356501871,-5.60621391701206,871.225045516664,136.726319087331,29.0754654425898,50.8424074639536,353.787825176921,102.684081854569,283.388882928298,146.609570772746
"Northern Hemisphere",5.5,1980,4.76076570693032,843.46361170898,10.5060941980784,1.36973402023144,15.9019206106348,-5.43945638251884,864.367444154399,133.972290231884,29.436889775491,50.5436545669114,361.446198850285,103.292014156007,281.895379237746,139.733899696395
"Northern Hemisphere",6,1946,4.98058901389946,850.798472858786,10.4103064070337,1.50946030400926,15.9283471243787,-5.57373558598914,879.70645022615,134.068661412014,29.7022476606407,52.3809421732399,363.880721289002,105.969748621615,290.240166095125,134.954898571897
