"Longitude","Latitude","Timeslice_older","Biome_older","Timeslice_younger","Biome_younger","Shifting","Magnitude"
-37.5,83.4789352416992,0.1,8,-0.1,8,"no",0
-37.5,83.4789352416992,0.1,8,-0.2,8,"no",0
-37.5,83.4789352416992,0.1,8,-0.3,4,"yes",1
-33.75,83.4789352416992,0.1,8,-0.1,8,"no",0
-33.75,83.4789352416992,0.1,8,-0.2,8,"no",0
-33.75,83.4789352416992,0.1,8,-0.3,4,"yes",1
-30,83.4789352416992,0.1,8,-0.1,8,"no",0
-30,83.4789352416992,0.1,8,-0.2,8,"no",0
-30,83.4789352416992,0.1,8,-0.3,4,"yes",1
-26.25,83.4789352416992,0.1,8,-0.1,8,"no",0
-26.25,83.4789352416992,0.1,8,-0.2,8,"no",0
-26.25,83.4789352416992,0.1,8,-0.3,4,"yes",1
15,79.7770462036133,0.1,8,-0.1,8,"no",0
15,79.7770462036133,0.1,8,-0.2,6,"yes",1
15,79.7770462036133,0.1,8,-0.3,3,"yes",2
18.75,79.7770462036133,0.1,8,-0.1,8,"no",0
18.75,79.7770462036133,0.1,8,-0.2,6,"yes",1
18.75,79.7770462036133,0.1,8,-0.3,3,"yes",2
101.25,79.7770462036133,0.1,8,-0.1,8,"no",0
101.25,79.7770462036133,0.1,8,-0.2,8,"no",0
101.25,79.7770462036133,0.1,8,-0.3,3,"yes",2
-86.25,79.7770462036133,0.1,8,-0.1,8,"no",0
-86.25,79.7770462036133,0.1,8,-0.2,6,"yes",1
-86.25,79.7770462036133,0.1,8,-0.3,3,"yes",2
-82.5,79.7770462036133,0.1,8,-0.1,8,"no",0
-82.5,79.7770462036133,0.1,8,-0.2,6,"yes",1
-82.5,79.7770462036133,0.1,8,-0.3,3,"yes",2
-75,79.7770462036133,0.1,8,-0.1,8,"no",0
-75,79.7770462036133,0.1,8,-0.2,8,"no",0
-75,79.7770462036133,0.1,8,-0.3,4,"yes",1
-71.25,79.7770462036133,0.1,8,-0.1,8,"no",0
-71.25,79.7770462036133,0.1,8,-0.2,8,"no",0
-71.25,79.7770462036133,0.1,8,-0.3,4,"yes",1
-67.5,79.7770462036133,0.1,8,-0.1,8,"no",0
-67.5,79.7770462036133,0.1,8,-0.2,8,"no",0
-67.5,79.7770462036133,0.1,8,-0.3,6,"yes",1
-22.5,79.7770462036133,0.1,8,-0.1,8,"no",0
-22.5,79.7770462036133,0.1,8,-0.2,8,"no",0
-22.5,79.7770462036133,0.1,8,-0.3,4,"yes",1
-18.75,79.7770462036133,0.1,8,-0.1,8,"no",0
-18.75,79.7770462036133,0.1,8,-0.2,8,"no",0
-18.75,79.7770462036133,0.1,8,-0.3,4,"yes",1
97.5,76.0702438354492,0.1,8,-0.1,8,"no",0
97.5,76.0702438354492,0.1,8,-0.2,6,"yes",1
97.5,76.0702438354492,0.1,8,-0.3,3,"yes",2
101.25,76.0702438354492,0.1,8,-0.1,8,"no",0
101.25,76.0702438354492,0.1,8,-0.2,6,"yes",1
101.25,76.0702438354492,0.1,8,-0.3,3,"yes",2
105,76.0702438354492,0.1,8,-0.1,8,"no",0
105,76.0702438354492,0.1,8,-0.2,6,"yes",1
105,76.0702438354492,0.1,8,-0.3,3,"yes",2
108.75,76.0702438354492,0.1,8,-0.1,8,"no",0
108.75,76.0702438354492,0.1,8,-0.2,6,"yes",1
108.75,76.0702438354492,0.1,8,-0.3,3,"yes",2
-116.25,76.0702438354492,0.1,8,-0.1,8,"no",0
-116.25,76.0702438354492,0.1,8,-0.2,6,"yes",1
-116.25,76.0702438354492,0.1,8,-0.3,3,"yes",2
-112.5,76.0702438354492,0.1,8,-0.1,8,"no",0
-112.5,76.0702438354492,0.1,8,-0.2,6,"yes",1
-112.5,76.0702438354492,0.1,8,-0.3,3,"yes",2
-86.25,76.0702438354492,0.1,8,-0.1,8,"no",0
-86.25,76.0702438354492,0.1,8,-0.2,6,"yes",1
-86.25,76.0702438354492,0.1,8,-0.3,3,"yes",2
-82.5,76.0702438354492,0.1,8,-0.1,8,"no",0
-82.5,76.0702438354492,0.1,8,-0.2,4,"yes",1
-82.5,76.0702438354492,0.1,8,-0.3,3,"yes",2
-22.5,76.0702438354492,0.1,8,-0.1,8,"no",0
-22.5,76.0702438354492,0.1,8,-0.2,8,"no",0
-22.5,76.0702438354492,0.1,8,-0.3,6,"yes",1
52.5,72.3615798950195,0.1,8,-0.1,8,"no",0
52.5,72.3615798950195,0.1,8,-0.2,4,"yes",1
52.5,72.3615798950195,0.1,8,-0.3,3,"yes",2
56.25,72.3615798950195,0.1,8,-0.1,8,"no",0
56.25,72.3615798950195,0.1,8,-0.2,4,"yes",1
56.25,72.3615798950195,0.1,8,-0.3,3,"yes",2
67.5,72.3615798950195,0.1,8,-0.1,8,"no",0
67.5,72.3615798950195,0.1,8,-0.2,4,"yes",1
67.5,72.3615798950195,0.1,8,-0.3,3,"yes",2
71.25,72.3615798950195,0.1,8,-0.1,8,"no",0
71.25,72.3615798950195,0.1,8,-0.2,4,"yes",1
71.25,72.3615798950195,0.1,8,-0.3,3,"yes",2
75,72.3615798950195,0.1,8,-0.1,8,"no",0
75,72.3615798950195,0.1,8,-0.2,4,"yes",1
75,72.3615798950195,0.1,8,-0.3,3,"yes",2
78.75,72.3615798950195,0.1,8,-0.1,8,"no",0
78.75,72.3615798950195,0.1,8,-0.2,4,"yes",1
78.75,72.3615798950195,0.1,8,-0.3,3,"yes",2
82.5,72.3615798950195,0.1,8,-0.1,8,"no",0
82.5,72.3615798950195,0.1,8,-0.2,4,"yes",1
82.5,72.3615798950195,0.1,8,-0.3,3,"yes",2
86.25,72.3615798950195,0.1,8,-0.1,8,"no",0
86.25,72.3615798950195,0.1,8,-0.2,4,"yes",1
86.25,72.3615798950195,0.1,8,-0.3,3,"yes",2
90,72.3615798950195,0.1,8,-0.1,8,"no",0
90,72.3615798950195,0.1,8,-0.2,4,"yes",1
90,72.3615798950195,0.1,8,-0.3,3,"yes",2
93.75,72.3615798950195,0.1,8,-0.1,8,"no",0
93.75,72.3615798950195,0.1,8,-0.2,4,"yes",1
93.75,72.3615798950195,0.1,8,-0.3,3,"yes",2
97.5,72.3615798950195,0.1,8,-0.1,8,"no",0
97.5,72.3615798950195,0.1,8,-0.2,4,"yes",1
97.5,72.3615798950195,0.1,8,-0.3,3,"yes",2
101.25,72.3615798950195,0.1,8,-0.1,8,"no",0
101.25,72.3615798950195,0.1,8,-0.2,4,"yes",1
101.25,72.3615798950195,0.1,8,-0.3,3,"yes",2
105,72.3615798950195,0.1,8,-0.1,8,"no",0
105,72.3615798950195,0.1,8,-0.2,4,"yes",1
105,72.3615798950195,0.1,8,-0.3,3,"yes",2
108.75,72.3615798950195,0.1,8,-0.1,8,"no",0
108.75,72.3615798950195,0.1,8,-0.2,4,"yes",1
108.75,72.3615798950195,0.1,8,-0.3,3,"yes",2
112.5,72.3615798950195,0.1,8,-0.1,8,"no",0
112.5,72.3615798950195,0.1,8,-0.2,4,"yes",1
112.5,72.3615798950195,0.1,8,-0.3,3,"yes",2
116.25,72.3615798950195,0.1,8,-0.1,8,"no",0
116.25,72.3615798950195,0.1,8,-0.2,4,"yes",1
116.25,72.3615798950195,0.1,8,-0.3,3,"yes",2
120,72.3615798950195,0.1,8,-0.1,8,"no",0
120,72.3615798950195,0.1,8,-0.2,4,"yes",1
120,72.3615798950195,0.1,8,-0.3,3,"yes",2
123.75,72.3615798950195,0.1,8,-0.1,8,"no",0
123.75,72.3615798950195,0.1,8,-0.2,4,"yes",1
123.75,72.3615798950195,0.1,8,-0.3,3,"yes",2
127.5,72.3615798950195,0.1,8,-0.1,8,"no",0
127.5,72.3615798950195,0.1,8,-0.2,4,"yes",1
127.5,72.3615798950195,0.1,8,-0.3,3,"yes",2
131.25,72.3615798950195,0.1,8,-0.1,8,"no",0
131.25,72.3615798950195,0.1,8,-0.2,6,"yes",1
131.25,72.3615798950195,0.1,8,-0.3,3,"yes",2
138.75,72.3615798950195,0.1,8,-0.1,8,"no",0
138.75,72.3615798950195,0.1,8,-0.2,6,"yes",1
138.75,72.3615798950195,0.1,8,-0.3,3,"yes",2
142.5,72.3615798950195,0.1,8,-0.1,8,"no",0
142.5,72.3615798950195,0.1,8,-0.2,6,"yes",1
142.5,72.3615798950195,0.1,8,-0.3,3,"yes",2
146.25,72.3615798950195,0.1,8,-0.1,8,"no",0
146.25,72.3615798950195,0.1,8,-0.2,6,"yes",1
146.25,72.3615798950195,0.1,8,-0.3,3,"yes",2
-123.75,72.3615798950195,0.1,8,-0.1,6,"yes",1
-123.75,72.3615798950195,0.1,8,-0.2,4,"yes",1
-123.75,72.3615798950195,0.1,8,-0.3,3,"yes",2
-120,72.3615798950195,0.1,8,-0.1,6,"yes",1
-120,72.3615798950195,0.1,8,-0.2,4,"yes",1
-120,72.3615798950195,0.1,8,-0.3,3,"yes",2
-116.25,72.3615798950195,0.1,8,-0.1,8,"no",0
-116.25,72.3615798950195,0.1,8,-0.2,4,"yes",1
-116.25,72.3615798950195,0.1,8,-0.3,3,"yes",2
-112.5,72.3615798950195,0.1,8,-0.1,8,"no",0
-112.5,72.3615798950195,0.1,8,-0.2,4,"yes",1
-112.5,72.3615798950195,0.1,8,-0.3,3,"yes",2
-108.75,72.3615798950195,0.1,8,-0.1,8,"no",0
-108.75,72.3615798950195,0.1,8,-0.2,4,"yes",1
-108.75,72.3615798950195,0.1,8,-0.3,3,"yes",2
-93.75,72.3615798950195,0.1,8,-0.1,8,"no",0
-93.75,72.3615798950195,0.1,8,-0.2,4,"yes",1
-93.75,72.3615798950195,0.1,8,-0.3,3,"yes",2
-86.25,72.3615798950195,0.1,8,-0.1,8,"no",0
-86.25,72.3615798950195,0.1,8,-0.2,4,"yes",1
-86.25,72.3615798950195,0.1,8,-0.3,3,"yes",2
-82.5,72.3615798950195,0.1,8,-0.1,8,"no",0
-82.5,72.3615798950195,0.1,8,-0.2,4,"yes",1
-82.5,72.3615798950195,0.1,8,-0.3,3,"yes",2
-78.75,72.3615798950195,0.1,8,-0.1,6,"yes",1
-78.75,72.3615798950195,0.1,8,-0.2,3,"yes",2
-78.75,72.3615798950195,0.1,8,-0.3,3,"yes",2
-75,72.3615798950195,0.1,8,-0.1,4,"yes",1
-75,72.3615798950195,0.1,8,-0.2,3,"yes",2
-75,72.3615798950195,0.1,8,-0.3,3,"yes",2
-56.25,72.3615798950195,0.1,8,-0.1,8,"no",0
-56.25,72.3615798950195,0.1,8,-0.2,8,"no",0
-56.25,72.3615798950195,0.1,8,-0.3,4,"yes",1
-26.25,72.3615798950195,0.1,8,-0.1,8,"no",0
-26.25,72.3615798950195,0.1,8,-0.2,8,"no",0
-26.25,72.3615798950195,0.1,8,-0.3,6,"yes",1
-22.5,72.3615798950195,0.1,8,-0.1,8,"no",0
-22.5,72.3615798950195,0.1,8,-0.2,8,"no",0
-22.5,72.3615798950195,0.1,8,-0.3,4,"yes",1
18.75,68.6520156860352,0.1,4,-0.1,4,"no",0
18.75,68.6520156860352,0.1,4,-0.2,3,"yes",1
18.75,68.6520156860352,0.1,4,-0.3,3,"yes",1
22.5,68.6520156860352,0.1,4,-0.1,4,"no",0
22.5,68.6520156860352,0.1,4,-0.2,3,"yes",1
22.5,68.6520156860352,0.1,4,-0.3,3,"yes",1
26.25,68.6520156860352,0.1,6,-0.1,4,"yes",3
26.25,68.6520156860352,0.1,6,-0.2,3,"yes",2
26.25,68.6520156860352,0.1,6,-0.3,3,"yes",2
30,68.6520156860352,0.1,6,-0.1,4,"yes",3
30,68.6520156860352,0.1,6,-0.2,3,"yes",2
30,68.6520156860352,0.1,6,-0.3,3,"yes",2
52.5,68.6520156860352,0.1,8,-0.1,6,"yes",1
52.5,68.6520156860352,0.1,8,-0.2,3,"yes",2
52.5,68.6520156860352,0.1,8,-0.3,3,"yes",2
56.25,68.6520156860352,0.1,8,-0.1,6,"yes",1
56.25,68.6520156860352,0.1,8,-0.2,3,"yes",2
56.25,68.6520156860352,0.1,8,-0.3,3,"yes",2
60,68.6520156860352,0.1,8,-0.1,4,"yes",1
60,68.6520156860352,0.1,8,-0.2,3,"yes",2
60,68.6520156860352,0.1,8,-0.3,3,"yes",2
63.75,68.6520156860352,0.1,8,-0.1,4,"yes",1
63.75,68.6520156860352,0.1,8,-0.2,3,"yes",2
63.75,68.6520156860352,0.1,8,-0.3,3,"yes",2
67.5,68.6520156860352,0.1,8,-0.1,4,"yes",1
67.5,68.6520156860352,0.1,8,-0.2,3,"yes",2
67.5,68.6520156860352,0.1,8,-0.3,3,"yes",2
71.25,68.6520156860352,0.1,8,-0.1,4,"yes",1
71.25,68.6520156860352,0.1,8,-0.2,3,"yes",2
71.25,68.6520156860352,0.1,8,-0.3,3,"yes",2
75,68.6520156860352,0.1,8,-0.1,4,"yes",1
75,68.6520156860352,0.1,8,-0.2,3,"yes",2
75,68.6520156860352,0.1,8,-0.3,3,"yes",2
78.75,68.6520156860352,0.1,8,-0.1,4,"yes",1
78.75,68.6520156860352,0.1,8,-0.2,3,"yes",2
78.75,68.6520156860352,0.1,8,-0.3,3,"yes",2
82.5,68.6520156860352,0.1,8,-0.1,4,"yes",1
82.5,68.6520156860352,0.1,8,-0.2,3,"yes",2
82.5,68.6520156860352,0.1,8,-0.3,3,"yes",2
86.25,68.6520156860352,0.1,8,-0.1,4,"yes",1
86.25,68.6520156860352,0.1,8,-0.2,3,"yes",2
86.25,68.6520156860352,0.1,8,-0.3,3,"yes",2
90,68.6520156860352,0.1,8,-0.1,8,"no",0
90,68.6520156860352,0.1,8,-0.2,4,"yes",1
90,68.6520156860352,0.1,8,-0.3,3,"yes",2
93.75,68.6520156860352,0.1,8,-0.1,8,"no",0
93.75,68.6520156860352,0.1,8,-0.2,4,"yes",1
93.75,68.6520156860352,0.1,8,-0.3,3,"yes",2
97.5,68.6520156860352,0.1,8,-0.1,8,"no",0
97.5,68.6520156860352,0.1,8,-0.2,4,"yes",1
97.5,68.6520156860352,0.1,8,-0.3,3,"yes",2
101.25,68.6520156860352,0.1,8,-0.1,8,"no",0
101.25,68.6520156860352,0.1,8,-0.2,4,"yes",1
101.25,68.6520156860352,0.1,8,-0.3,3,"yes",2
105,68.6520156860352,0.1,8,-0.1,8,"no",0
105,68.6520156860352,0.1,8,-0.2,4,"yes",1
105,68.6520156860352,0.1,8,-0.3,3,"yes",2
108.75,68.6520156860352,0.1,8,-0.1,4,"yes",1
108.75,68.6520156860352,0.1,8,-0.2,4,"yes",1
108.75,68.6520156860352,0.1,8,-0.3,3,"yes",2
112.5,68.6520156860352,0.1,8,-0.1,4,"yes",1
112.5,68.6520156860352,0.1,8,-0.2,3,"yes",2
112.5,68.6520156860352,0.1,8,-0.3,3,"yes",2
116.25,68.6520156860352,0.1,4,-0.1,4,"no",0
116.25,68.6520156860352,0.1,4,-0.2,3,"yes",1
116.25,68.6520156860352,0.1,4,-0.3,3,"yes",1
120,68.6520156860352,0.1,4,-0.1,4,"no",0
120,68.6520156860352,0.1,4,-0.2,3,"yes",1
120,68.6520156860352,0.1,4,-0.3,3,"yes",1
123.75,68.6520156860352,0.1,4,-0.1,4,"no",0
123.75,68.6520156860352,0.1,4,-0.2,3,"yes",1
123.75,68.6520156860352,0.1,4,-0.3,3,"yes",1
127.5,68.6520156860352,0.1,4,-0.1,4,"no",0
127.5,68.6520156860352,0.1,4,-0.2,3,"yes",1
127.5,68.6520156860352,0.1,4,-0.3,3,"yes",1
131.25,68.6520156860352,0.1,8,-0.1,4,"yes",1
131.25,68.6520156860352,0.1,8,-0.2,4,"yes",1
131.25,68.6520156860352,0.1,8,-0.3,3,"yes",2
135,68.6520156860352,0.1,8,-0.1,8,"no",0
135,68.6520156860352,0.1,8,-0.2,4,"yes",1
135,68.6520156860352,0.1,8,-0.3,3,"yes",2
138.75,68.6520156860352,0.1,8,-0.1,8,"no",0
138.75,68.6520156860352,0.1,8,-0.2,4,"yes",1
138.75,68.6520156860352,0.1,8,-0.3,3,"yes",2
142.5,68.6520156860352,0.1,8,-0.1,8,"no",0
142.5,68.6520156860352,0.1,8,-0.2,4,"yes",1
142.5,68.6520156860352,0.1,8,-0.3,3,"yes",2
146.25,68.6520156860352,0.1,8,-0.1,8,"no",0
146.25,68.6520156860352,0.1,8,-0.2,4,"yes",1
146.25,68.6520156860352,0.1,8,-0.3,3,"yes",2
150,68.6520156860352,0.1,8,-0.1,8,"no",0
150,68.6520156860352,0.1,8,-0.2,4,"yes",1
150,68.6520156860352,0.1,8,-0.3,3,"yes",2
153.75,68.6520156860352,0.1,8,-0.1,8,"no",0
153.75,68.6520156860352,0.1,8,-0.2,4,"yes",1
153.75,68.6520156860352,0.1,8,-0.3,3,"yes",2
157.5,68.6520156860352,0.1,8,-0.1,8,"no",0
157.5,68.6520156860352,0.1,8,-0.2,4,"yes",1
157.5,68.6520156860352,0.1,8,-0.3,3,"yes",2
161.25,68.6520156860352,0.1,8,-0.1,8,"no",0
